date1,date,headline_classification,stories,total_stories
15mar2015,"15-3-2015","Climate",3,21
15mar2015,"15-3-2015","Other",16,21
16mar2015,"16-3-2015","Climate",6,36
16mar2015,"16-3-2015","Climate,Brexit",1,36
16mar2015,"16-3-2015","Other",29,36
17mar2015,"17-3-2015","Brexit Other",2,27
17mar2015,"17-3-2015","Brexit Politics",1,27
17mar2015,"17-3-2015","Climate",9,27
17mar2015,"17-3-2015","Other",15,27
18mar2015,"18-3-2015","Brexit Other",3,29
18mar2015,"18-3-2015","Climate",10,29
18mar2015,"18-3-2015","Other",16,29
19mar2015,"19-3-2015","Brexit Other",2,34
19mar2015,"19-3-2015","Climate",9,34
19mar2015,"19-3-2015","Other",23,34
20mar2015,"20-3-2015","Brexit Business,Brexit Politics",1,38
20mar2015,"20-3-2015","Brexit Immigration",1,38
20mar2015,"20-3-2015","Brexit Other",1,38
20mar2015,"20-3-2015","Brexit Politics",2,38
20mar2015,"20-3-2015","Climate",7,38
20mar2015,"20-3-2015","Other",26,38
21mar2015,"21-3-2015","Brexit Other",2,18
21mar2015,"21-3-2015","Climate",4,18
21mar2015,"21-3-2015","Other",12,18
22mar2015,"22-3-2015","Brexit Other",1,32
22mar2015,"22-3-2015","Climate",6,32
22mar2015,"22-3-2015","Other",25,32
23mar2015,"23-3-2015","Brexit Business,Brexit Politics",2,31
23mar2015,"23-3-2015","Brexit Immigration",1,31
23mar2015,"23-3-2015","Brexit Other",1,31
23mar2015,"23-3-2015","Climate",9,31
23mar2015,"23-3-2015","Climate,Brexit",1,31
23mar2015,"23-3-2015","Other",17,31
24mar2015,"24-3-2015","Climate",7,23
24mar2015,"24-3-2015","Other",16,23
25mar2015,"25-3-2015","Brexit Other",4,33
25mar2015,"25-3-2015","Climate",8,33
25mar2015,"25-3-2015","Other",21,33
26mar2015,"26-3-2015","Brexit Other",2,19
26mar2015,"26-3-2015","Climate",1,19
26mar2015,"26-3-2015","Other",16,19
27mar2015,"27-3-2015","",1,25
27mar2015,"27-3-2015","Brexit Other",1,25
27mar2015,"27-3-2015","Climate",3,25
27mar2015,"27-3-2015","Other",20,25
28mar2015,"28-3-2015","Brexit Immigration",1,21
28mar2015,"28-3-2015","Brexit Other",2,21
28mar2015,"28-3-2015","Climate",9,21
28mar2015,"28-3-2015","Other",9,21
29mar2015,"29-3-2015","Brexit Other",3,35
29mar2015,"29-3-2015","Brexit Politics",3,35
29mar2015,"29-3-2015","Climate",4,35
29mar2015,"29-3-2015","Other",25,35
30mar2015,"30-3-2015","Brexit Immigration",1,33
30mar2015,"30-3-2015","Brexit Politics",1,33
30mar2015,"30-3-2015","Climate",7,33
30mar2015,"30-3-2015","Other",24,33
31mar2015,"31-3-2015","Brexit Other",2,32
31mar2015,"31-3-2015","Climate",9,32
31mar2015,"31-3-2015","Climate,Brexit",1,32
31mar2015,"31-3-2015","Other",20,32
01apr2015,"1-4-2015","Brexit Business",1,23
01apr2015,"1-4-2015","Brexit Business,Brexit Politics",1,23
01apr2015,"1-4-2015","Brexit Other",1,23
01apr2015,"1-4-2015","Climate",2,23
01apr2015,"1-4-2015","Climate,Brexit",2,23
01apr2015,"1-4-2015","Other",16,23
02apr2015,"2-4-2015","Brexit Other",1,37
02apr2015,"2-4-2015","Brexit Politics",1,37
02apr2015,"2-4-2015","Climate",7,37
02apr2015,"2-4-2015","Other",28,37
03apr2015,"3-4-2015","Brexit Other",2,38
03apr2015,"3-4-2015","Brexit Politics",1,38
03apr2015,"3-4-2015","Climate",5,38
03apr2015,"3-4-2015","Climate,Brexit",2,38
03apr2015,"3-4-2015","Other",28,38
04apr2015,"4-4-2015","Brexit Other",1,14
04apr2015,"4-4-2015","Climate",2,14
04apr2015,"4-4-2015","Other",11,14
05apr2015,"5-4-2015","Brexit Other",4,32
05apr2015,"5-4-2015","Climate",7,32
05apr2015,"5-4-2015","Climate,Brexit",1,32
05apr2015,"5-4-2015","Other",20,32
06apr2015,"6-4-2015","Brexit Politics",1,14
06apr2015,"6-4-2015","Climate",2,14
06apr2015,"6-4-2015","Other",11,14
07apr2015,"7-4-2015","Brexit Business",1,41
07apr2015,"7-4-2015","Brexit Other",3,41
07apr2015,"7-4-2015","Brexit Politics",4,41
07apr2015,"7-4-2015","Climate",9,41
07apr2015,"7-4-2015","Other",24,41
08apr2015,"8-4-2015","Brexit Business,Brexit Politics",1,34
08apr2015,"8-4-2015","Climate",7,34
08apr2015,"8-4-2015","Other",26,34
09apr2015,"9-4-2015","Brexit Other",1,29
09apr2015,"9-4-2015","Climate",5,29
09apr2015,"9-4-2015","Other",23,29
10apr2015,"10-4-2015","Brexit Other",2,26
10apr2015,"10-4-2015","Brexit Politics",1,26
10apr2015,"10-4-2015","Climate",7,26
10apr2015,"10-4-2015","Other",16,26
11apr2015,"11-4-2015","Brexit Other",4,19
11apr2015,"11-4-2015","Brexit Politics",2,19
11apr2015,"11-4-2015","Climate",5,19
11apr2015,"11-4-2015","Other",8,19
12apr2015,"12-4-2015","Brexit Other",3,30
12apr2015,"12-4-2015","Climate",4,30
12apr2015,"12-4-2015","Other",23,30
13apr2015,"13-4-2015","Brexit Other",1,21
13apr2015,"13-4-2015","Climate",7,21
13apr2015,"13-4-2015","Other",13,21
14apr2015,"14-4-2015","Brexit Other",1,32
14apr2015,"14-4-2015","Brexit Politics",2,32
14apr2015,"14-4-2015","Climate",4,32
14apr2015,"14-4-2015","Other",25,32
15apr2015,"15-4-2015","Brexit Other",3,43
15apr2015,"15-4-2015","Brexit Politics",1,43
15apr2015,"15-4-2015","Climate",8,43
15apr2015,"15-4-2015","Climate,Brexit",2,43
15apr2015,"15-4-2015","Other",29,43
16apr2015,"16-4-2015","",1,44
16apr2015,"16-4-2015","Brexit Other",2,44
16apr2015,"16-4-2015","Brexit Politics",5,44
16apr2015,"16-4-2015","Climate",6,44
16apr2015,"16-4-2015","Climate,Brexit",1,44
16apr2015,"16-4-2015","Other",29,44
17apr2015,"17-4-2015","Brexit Business,Brexit Politics",1,40
17apr2015,"17-4-2015","Brexit Politics",1,40
17apr2015,"17-4-2015","Climate",7,40
17apr2015,"17-4-2015","Climate,Brexit",1,40
17apr2015,"17-4-2015","Other",30,40
18apr2015,"18-4-2015","Brexit Immigration",1,27
18apr2015,"18-4-2015","Brexit Other",1,27
18apr2015,"18-4-2015","Brexit Politics",1,27
18apr2015,"18-4-2015","Climate",5,27
18apr2015,"18-4-2015","Other",19,27
19apr2015,"19-4-2015","Brexit Other",2,50
19apr2015,"19-4-2015","Climate",4,50
19apr2015,"19-4-2015","Other",44,50
20apr2015,"20-4-2015","",1,40
20apr2015,"20-4-2015","Brexit Other",1,40
20apr2015,"20-4-2015","Climate",9,40
20apr2015,"20-4-2015","Other",29,40
21apr2015,"21-4-2015","Brexit Immigration",1,62
21apr2015,"21-4-2015","Brexit Other",1,62
21apr2015,"21-4-2015","Brexit Politics",2,62
21apr2015,"21-4-2015","Climate",11,62
21apr2015,"21-4-2015","Climate,Brexit",1,62
21apr2015,"21-4-2015","Other",46,62
22apr2015,"22-4-2015","Brexit Immigration",3,53
22apr2015,"22-4-2015","Brexit Other",1,53
22apr2015,"22-4-2015","Brexit Politics,Brexit Immigration",1,53
22apr2015,"22-4-2015","Climate",12,53
22apr2015,"22-4-2015","Other",36,53
23apr2015,"23-4-2015","Brexit Immigration",2,33
23apr2015,"23-4-2015","Brexit Other",4,33
23apr2015,"23-4-2015","Brexit Politics",2,33
23apr2015,"23-4-2015","Brexit Politics,Brexit Immigration",2,33
23apr2015,"23-4-2015","Climate",4,33
23apr2015,"23-4-2015","Climate,Brexit",1,33
23apr2015,"23-4-2015","Other",18,33
24apr2015,"24-4-2015","Brexit Business,Brexit Immigration",1,39
24apr2015,"24-4-2015","Climate",8,39
24apr2015,"24-4-2015","Other",30,39
25apr2015,"25-4-2015","Climate",7,29
25apr2015,"25-4-2015","Other",22,29
26apr2015,"26-4-2015","Brexit Politics",1,29
26apr2015,"26-4-2015","Climate",3,29
26apr2015,"26-4-2015","Climate,Brexit",1,29
26apr2015,"26-4-2015","Other",24,29
27apr2015,"27-4-2015","Brexit Politics,Brexit Immigration",1,30
27apr2015,"27-4-2015","Climate",7,30
27apr2015,"27-4-2015","Other",22,30
28apr2015,"28-4-2015","Brexit Business",1,30
28apr2015,"28-4-2015","Brexit Other",1,30
28apr2015,"28-4-2015","Brexit Politics",2,30
28apr2015,"28-4-2015","Climate",6,30
28apr2015,"28-4-2015","Climate,Brexit",2,30
28apr2015,"28-4-2015","Other",18,30
29apr2015,"29-4-2015","Brexit Business",2,34
29apr2015,"29-4-2015","Brexit Other",2,34
29apr2015,"29-4-2015","Climate",9,34
29apr2015,"29-4-2015","Climate,Brexit",2,34
29apr2015,"29-4-2015","Other",19,34
30apr2015,"30-4-2015","Brexit Other",4,38
30apr2015,"30-4-2015","Climate",9,38
30apr2015,"30-4-2015","Other",25,38
01may2015,"1-5-2015","",1,29
01may2015,"1-5-2015","Brexit Business",1,29
01may2015,"1-5-2015","Brexit Immigration",1,29
01may2015,"1-5-2015","Brexit Other",3,29
01may2015,"1-5-2015","Brexit Politics",1,29
01may2015,"1-5-2015","Climate",5,29
01may2015,"1-5-2015","Other",17,29
02may2015,"2-5-2015","Brexit Politics",1,16
02may2015,"2-5-2015","Climate",3,16
02may2015,"2-5-2015","Other",12,16
03may2015,"3-5-2015","Brexit Other",2,31
03may2015,"3-5-2015","Climate",3,31
03may2015,"3-5-2015","Other",26,31
04may2015,"4-5-2015","Brexit Immigration",1,26
04may2015,"4-5-2015","Climate",11,26
04may2015,"4-5-2015","Other",14,26
05may2015,"5-5-2015","Brexit Business,Brexit Politics",1,30
05may2015,"5-5-2015","Brexit Other",1,30
05may2015,"5-5-2015","Climate",6,30
05may2015,"5-5-2015","Climate,Brexit",1,30
05may2015,"5-5-2015","Other",21,30
06may2015,"6-5-2015","Brexit Immigration",1,31
06may2015,"6-5-2015","Climate",12,31
06may2015,"6-5-2015","Other",18,31
07may2015,"7-5-2015","",1,41
07may2015,"7-5-2015","Brexit Other",1,41
07may2015,"7-5-2015","Brexit Politics",1,41
07may2015,"7-5-2015","Climate",10,41
07may2015,"7-5-2015","Climate,Brexit",1,41
07may2015,"7-5-2015","Other",27,41
08may2015,"8-5-2015","Brexit Business,Brexit Politics",1,41
08may2015,"8-5-2015","Brexit Other",3,41
08may2015,"8-5-2015","Climate",12,41
08may2015,"8-5-2015","Climate,Brexit",2,41
08may2015,"8-5-2015","Other",23,41
09may2015,"9-5-2015","Brexit Business",1,31
09may2015,"9-5-2015","Brexit Other",3,31
09may2015,"9-5-2015","Brexit Politics",1,31
09may2015,"9-5-2015","Climate",4,31
09may2015,"9-5-2015","Other",22,31
10may2015,"10-5-2015","Brexit Other",1,29
10may2015,"10-5-2015","Brexit Politics",1,29
10may2015,"10-5-2015","Brexit Politics,Brexit Immigration",1,29
10may2015,"10-5-2015","Climate",4,29
10may2015,"10-5-2015","Other",22,29
11may2015,"11-5-2015","Brexit Immigration",2,39
11may2015,"11-5-2015","Brexit Other",1,39
11may2015,"11-5-2015","Brexit Politics",2,39
11may2015,"11-5-2015","Climate",11,39
11may2015,"11-5-2015","Climate,Brexit",3,39
11may2015,"11-5-2015","Other",20,39
12may2015,"12-5-2015","Brexit Other",1,31
12may2015,"12-5-2015","Brexit Politics",2,31
12may2015,"12-5-2015","Climate",8,31
12may2015,"12-5-2015","Climate,Brexit",4,31
12may2015,"12-5-2015","Other",16,31
13may2015,"13-5-2015","Brexit Business",2,51
13may2015,"13-5-2015","Brexit Business,Brexit Immigration",1,51
13may2015,"13-5-2015","Brexit Immigration",2,51
13may2015,"13-5-2015","Brexit Other",2,51
13may2015,"13-5-2015","Brexit Politics,Brexit Immigration",2,51
13may2015,"13-5-2015","Climate",7,51
13may2015,"13-5-2015","Climate,Brexit",1,51
13may2015,"13-5-2015","Other",34,51
14may2015,"14-5-2015","Brexit Business,Brexit Politics",1,72
14may2015,"14-5-2015","Brexit Other",1,72
14may2015,"14-5-2015","Climate",14,72
14may2015,"14-5-2015","Other",56,72
15may2015,"15-5-2015","Brexit Business",1,39
15may2015,"15-5-2015","Brexit Other",1,39
15may2015,"15-5-2015","Climate",8,39
15may2015,"15-5-2015","Climate,Brexit",3,39
15may2015,"15-5-2015","Other",26,39
16may2015,"16-5-2015","Brexit Politics",3,27
16may2015,"16-5-2015","Climate",6,27
16may2015,"16-5-2015","Climate,Brexit",1,27
16may2015,"16-5-2015","Other",17,27
17may2015,"17-5-2015","Brexit Business",1,54
17may2015,"17-5-2015","Brexit Business,Brexit Politics",2,54
17may2015,"17-5-2015","Brexit Immigration",2,54
17may2015,"17-5-2015","Brexit Other",2,54
17may2015,"17-5-2015","Brexit Politics",1,54
17may2015,"17-5-2015","Climate",10,54
17may2015,"17-5-2015","Climate,Brexit",4,54
17may2015,"17-5-2015","Other",32,54
18may2015,"18-5-2015","Brexit Other",4,37
18may2015,"18-5-2015","Brexit Politics",3,37
18may2015,"18-5-2015","Brexit Politics,Brexit Immigration",2,37
18may2015,"18-5-2015","Climate",6,37
18may2015,"18-5-2015","Climate,Brexit",1,37
18may2015,"18-5-2015","Other",21,37
19may2015,"19-5-2015","Brexit Business",1,29
19may2015,"19-5-2015","Brexit Business,Brexit Politics",1,29
19may2015,"19-5-2015","Brexit Other",3,29
19may2015,"19-5-2015","Brexit Politics",3,29
19may2015,"19-5-2015","Brexit Politics,Brexit Immigration",1,29
19may2015,"19-5-2015","Climate",5,29
19may2015,"19-5-2015","Climate,Brexit",1,29
19may2015,"19-5-2015","Other",14,29
20may2015,"20-5-2015","Brexit Business",2,52
20may2015,"20-5-2015","Brexit Other",2,52
20may2015,"20-5-2015","Brexit Politics,Brexit Immigration",1,52
20may2015,"20-5-2015","Climate",12,52
20may2015,"20-5-2015","Climate,Brexit",2,52
20may2015,"20-5-2015","Other",33,52
21may2015,"21-5-2015","Brexit Immigration",2,43
21may2015,"21-5-2015","Brexit Other",2,43
21may2015,"21-5-2015","Brexit Politics,Brexit Immigration",1,43
21may2015,"21-5-2015","Climate",12,43
21may2015,"21-5-2015","Climate,Brexit",2,43
21may2015,"21-5-2015","Other",24,43
22may2015,"22-5-2015","Brexit Business,Brexit Politics",1,40
22may2015,"22-5-2015","Brexit Other",9,40
22may2015,"22-5-2015","Brexit Politics",3,40
22may2015,"22-5-2015","Climate",6,40
22may2015,"22-5-2015","Climate,Brexit",1,40
22may2015,"22-5-2015","Other",20,40
23may2015,"23-5-2015","Brexit Business",3,28
23may2015,"23-5-2015","Brexit Business,Brexit Politics",1,28
23may2015,"23-5-2015","Brexit Other",2,28
23may2015,"23-5-2015","Climate",5,28
23may2015,"23-5-2015","Other",17,28
24may2015,"24-5-2015","Brexit Business,Brexit Politics",1,33
24may2015,"24-5-2015","Brexit Immigration",1,33
24may2015,"24-5-2015","Brexit Other",5,33
24may2015,"24-5-2015","Brexit Politics",3,33
24may2015,"24-5-2015","Climate",5,33
24may2015,"24-5-2015","Climate,Brexit",1,33
24may2015,"24-5-2015","Other",17,33
25may2015,"25-5-2015","",1,36
25may2015,"25-5-2015","Brexit Business",2,36
25may2015,"25-5-2015","Brexit Business,Brexit Politics",3,36
25may2015,"25-5-2015","Brexit Immigration",1,36
25may2015,"25-5-2015","Brexit Other",3,36
25may2015,"25-5-2015","Brexit Politics",1,36
25may2015,"25-5-2015","Climate",7,36
25may2015,"25-5-2015","Other",18,36
26may2015,"26-5-2015","Brexit Business",1,41
26may2015,"26-5-2015","Brexit Immigration",1,41
26may2015,"26-5-2015","Brexit Other",7,41
26may2015,"26-5-2015","Climate",5,41
26may2015,"26-5-2015","Climate,Brexit",2,41
26may2015,"26-5-2015","Other",25,41
27may2015,"27-5-2015","Brexit Other",4,28
27may2015,"27-5-2015","Brexit Politics",1,28
27may2015,"27-5-2015","Brexit Politics,Brexit Immigration",1,28
27may2015,"27-5-2015","Climate",3,28
27may2015,"27-5-2015","Climate,Brexit",2,28
27may2015,"27-5-2015","Other",17,28
28may2015,"28-5-2015","Brexit Immigration",1,32
28may2015,"28-5-2015","Brexit Other",2,32
28may2015,"28-5-2015","Brexit Politics",1,32
28may2015,"28-5-2015","Climate",4,32
28may2015,"28-5-2015","Climate,Brexit",5,32
28may2015,"28-5-2015","Other",19,32
29may2015,"29-5-2015","Brexit Immigration",2,31
29may2015,"29-5-2015","Brexit Other",3,31
29may2015,"29-5-2015","Brexit Politics",1,31
29may2015,"29-5-2015","Climate",9,31
29may2015,"29-5-2015","Climate,Brexit",5,31
29may2015,"29-5-2015","Other",11,31
30may2015,"30-5-2015","Brexit Other",1,14
30may2015,"30-5-2015","Brexit Politics",1,14
30may2015,"30-5-2015","Brexit Politics,Brexit Immigration",1,14
30may2015,"30-5-2015","Climate",2,14
30may2015,"30-5-2015","Other",9,14
31may2015,"31-5-2015","Brexit Other",5,48
31may2015,"31-5-2015","Brexit Politics",1,48
31may2015,"31-5-2015","Climate",3,48
31may2015,"31-5-2015","Climate,Brexit",1,48
31may2015,"31-5-2015","Other",38,48
01jun2015,"1-6-2015","Brexit Business",1,47
01jun2015,"1-6-2015","Brexit Other",5,47
01jun2015,"1-6-2015","Brexit Politics",1,47
01jun2015,"1-6-2015","Brexit Politics,Brexit Immigration",1,47
01jun2015,"1-6-2015","Climate",12,47
01jun2015,"1-6-2015","Climate,Brexit",2,47
01jun2015,"1-6-2015","Other",25,47
02jun2015,"2-6-2015","Brexit Other",4,44
02jun2015,"2-6-2015","Brexit Politics",1,44
02jun2015,"2-6-2015","Climate",13,44
02jun2015,"2-6-2015","Climate,Brexit",1,44
02jun2015,"2-6-2015","Other",25,44
03jun2015,"3-6-2015","Brexit Other",4,22
03jun2015,"3-6-2015","Brexit Politics",1,22
03jun2015,"3-6-2015","Climate",8,22
03jun2015,"3-6-2015","Other",9,22
04jun2015,"4-6-2015","Brexit Business,Brexit Politics",1,43
04jun2015,"4-6-2015","Brexit Other",6,43
04jun2015,"4-6-2015","Brexit Politics",1,43
04jun2015,"4-6-2015","Climate",4,43
04jun2015,"4-6-2015","Climate,Brexit",1,43
04jun2015,"4-6-2015","Other",30,43
05jun2015,"5-6-2015","Brexit Business",1,48
05jun2015,"5-6-2015","Brexit Politics",3,48
05jun2015,"5-6-2015","Climate",9,48
05jun2015,"5-6-2015","Climate,Brexit",3,48
05jun2015,"5-6-2015","Other",32,48
06jun2015,"6-6-2015","Brexit Other",3,33
06jun2015,"6-6-2015","Climate",9,33
06jun2015,"6-6-2015","Climate,Brexit",1,33
06jun2015,"6-6-2015","Other",20,33
07jun2015,"7-6-2015","",1,48
07jun2015,"7-6-2015","Brexit Immigration",4,48
07jun2015,"7-6-2015","Brexit Other",3,48
07jun2015,"7-6-2015","Brexit Politics",1,48
07jun2015,"7-6-2015","Brexit Politics,Brexit Immigration",1,48
07jun2015,"7-6-2015","Climate",6,48
07jun2015,"7-6-2015","Other",32,48
08jun2015,"8-6-2015","Brexit Immigration",1,46
08jun2015,"8-6-2015","Brexit Other",6,46
08jun2015,"8-6-2015","Brexit Politics",3,46
08jun2015,"8-6-2015","Climate",10,46
08jun2015,"8-6-2015","Other",26,46
09jun2015,"9-6-2015","Brexit Business",1,56
09jun2015,"9-6-2015","Brexit Immigration",1,56
09jun2015,"9-6-2015","Brexit Other",7,56
09jun2015,"9-6-2015","Brexit Politics",1,56
09jun2015,"9-6-2015","Climate",13,56
09jun2015,"9-6-2015","Other",33,56
10jun2015,"10-6-2015","",1,43
10jun2015,"10-6-2015","Brexit Other",4,43
10jun2015,"10-6-2015","Brexit Politics",3,43
10jun2015,"10-6-2015","Brexit Politics,Brexit Immigration",1,43
10jun2015,"10-6-2015","Climate",11,43
10jun2015,"10-6-2015","Climate,Brexit",2,43
10jun2015,"10-6-2015","Other",21,43
11jun2015,"11-6-2015","Brexit Immigration",1,42
11jun2015,"11-6-2015","Brexit Other",5,42
11jun2015,"11-6-2015","Climate",13,42
11jun2015,"11-6-2015","Climate,Brexit",1,42
11jun2015,"11-6-2015","Other",22,42
12jun2015,"12-6-2015","Brexit Other",5,41
12jun2015,"12-6-2015","Brexit Politics",1,41
12jun2015,"12-6-2015","Climate",11,41
12jun2015,"12-6-2015","Climate,Brexit",1,41
12jun2015,"12-6-2015","Other",23,41
13jun2015,"13-6-2015","Brexit Other",3,20
13jun2015,"13-6-2015","Climate",4,20
13jun2015,"13-6-2015","Other",13,20
14jun2015,"14-6-2015","Brexit Other",1,33
14jun2015,"14-6-2015","Brexit Politics",3,33
14jun2015,"14-6-2015","Climate",7,33
14jun2015,"14-6-2015","Other",22,33
15jun2015,"15-6-2015","Brexit Other",1,42
15jun2015,"15-6-2015","Brexit Politics",2,42
15jun2015,"15-6-2015","Climate",14,42
15jun2015,"15-6-2015","Other",25,42
16jun2015,"16-6-2015","Brexit Immigration",2,53
16jun2015,"16-6-2015","Brexit Other",2,53
16jun2015,"16-6-2015","Brexit Politics",3,53
16jun2015,"16-6-2015","Climate",15,53
16jun2015,"16-6-2015","Climate,Brexit",2,53
16jun2015,"16-6-2015","Other",29,53
17jun2015,"17-6-2015","Brexit Other",3,45
17jun2015,"17-6-2015","Brexit Politics",3,45
17jun2015,"17-6-2015","Climate",6,45
17jun2015,"17-6-2015","Climate,Brexit",2,45
17jun2015,"17-6-2015","Other",31,45
18jun2015,"18-6-2015","",1,50
18jun2015,"18-6-2015","Brexit Other",3,50
18jun2015,"18-6-2015","Brexit Politics",3,50
18jun2015,"18-6-2015","Climate",6,50
18jun2015,"18-6-2015","Climate,Brexit",5,50
18jun2015,"18-6-2015","Other",32,50
19jun2015,"19-6-2015","Brexit Immigration",1,56
19jun2015,"19-6-2015","Brexit Other",3,56
19jun2015,"19-6-2015","Brexit Politics",5,56
19jun2015,"19-6-2015","Brexit Politics,Brexit Immigration",1,56
19jun2015,"19-6-2015","Climate",10,56
19jun2015,"19-6-2015","Climate,Brexit",2,56
19jun2015,"19-6-2015","Other",34,56
20jun2015,"20-6-2015","Brexit Other",3,28
20jun2015,"20-6-2015","Brexit Politics",2,28
20jun2015,"20-6-2015","Climate",5,28
20jun2015,"20-6-2015","Other",18,28
21jun2015,"21-6-2015","Brexit Other",1,43
21jun2015,"21-6-2015","Brexit Politics",6,43
21jun2015,"21-6-2015","Climate",12,43
21jun2015,"21-6-2015","Climate,Brexit",2,43
21jun2015,"21-6-2015","Other",22,43
22jun2015,"22-6-2015","Brexit Business",2,45
22jun2015,"22-6-2015","Brexit Other",3,45
22jun2015,"22-6-2015","Brexit Politics",5,45
22jun2015,"22-6-2015","Climate",9,45
22jun2015,"22-6-2015","Climate,Brexit",4,45
22jun2015,"22-6-2015","Other",22,45
23jun2015,"23-6-2015","Brexit Immigration",3,50
23jun2015,"23-6-2015","Brexit Other",4,50
23jun2015,"23-6-2015","Brexit Politics",3,50
23jun2015,"23-6-2015","Climate",8,50
23jun2015,"23-6-2015","Climate,Brexit",1,50
23jun2015,"23-6-2015","Other",31,50
24jun2015,"24-6-2015","Brexit Business",2,69
24jun2015,"24-6-2015","Brexit Other",6,69
24jun2015,"24-6-2015","Brexit Politics",1,69
24jun2015,"24-6-2015","Climate",15,69
24jun2015,"24-6-2015","Climate,Brexit",4,69
24jun2015,"24-6-2015","Other",41,69
25jun2015,"25-6-2015","Brexit Immigration",2,59
25jun2015,"25-6-2015","Brexit Other",7,59
25jun2015,"25-6-2015","Climate",12,59
25jun2015,"25-6-2015","Climate,Brexit",2,59
25jun2015,"25-6-2015","Other",36,59
26jun2015,"26-6-2015","Brexit Business",3,66
26jun2015,"26-6-2015","Brexit Immigration",4,66
26jun2015,"26-6-2015","Brexit Other",1,66
26jun2015,"26-6-2015","Brexit Politics",2,66
26jun2015,"26-6-2015","Climate",22,66
26jun2015,"26-6-2015","Climate,Brexit",5,66
26jun2015,"26-6-2015","Other",29,66
27jun2015,"27-6-2015","Brexit Immigration",1,19
27jun2015,"27-6-2015","Brexit Other",2,19
27jun2015,"27-6-2015","Brexit Politics",2,19
27jun2015,"27-6-2015","Climate",5,19
27jun2015,"27-6-2015","Other",9,19
28jun2015,"28-6-2015","Brexit Other",2,32
28jun2015,"28-6-2015","Climate",3,32
28jun2015,"28-6-2015","Climate,Brexit",1,32
28jun2015,"28-6-2015","Other",26,32
29jun2015,"29-6-2015","Brexit Business,Brexit Politics",1,25
29jun2015,"29-6-2015","Brexit Other",1,25
29jun2015,"29-6-2015","Brexit Politics",1,25
29jun2015,"29-6-2015","Climate",6,25
29jun2015,"29-6-2015","Climate,Brexit",1,25
29jun2015,"29-6-2015","Other",15,25
