date1,date,text_classification,stories,total_stories
03apr2015,"3-4-2015","Brexit Other",1,38
03apr2015,"3-4-2015","Brexit Politics",3,38
03apr2015,"3-4-2015","Climate",24,38
03apr2015,"3-4-2015","Climate,Brexit",2,38
03apr2015,"3-4-2015","Other",5,38
04apr2015,"4-4-2015","Brexit Other",1,14
04apr2015,"4-4-2015","Climate",12,14
04apr2015,"4-4-2015","Climate,Brexit",1,14
05apr2015,"5-4-2015","Brexit Business",1,32
05apr2015,"5-4-2015","Brexit Politics",2,32
05apr2015,"5-4-2015","Climate",22,32
05apr2015,"5-4-2015","Climate,Brexit",6,32
05apr2015,"5-4-2015","Other",1,32
06apr2015,"6-4-2015","Brexit Politics",1,14
06apr2015,"6-4-2015","Climate",10,14
06apr2015,"6-4-2015","Climate,Brexit",1,14
06apr2015,"6-4-2015","Other",2,14
07apr2015,"7-4-2015","Brexit Immigration",1,41
07apr2015,"7-4-2015","Brexit Politics",6,41
07apr2015,"7-4-2015","Climate",25,41
07apr2015,"7-4-2015","Climate,Brexit",7,41
07apr2015,"7-4-2015","Other",2,41
08apr2015,"8-4-2015","Brexit Other",2,34
08apr2015,"8-4-2015","Climate",23,34
08apr2015,"8-4-2015","Climate,Brexit",4,34
08apr2015,"8-4-2015","Other",5,34
09apr2015,"9-4-2015","Brexit Business",2,29
09apr2015,"9-4-2015","Brexit Politics",2,29
09apr2015,"9-4-2015","Climate",18,29
09apr2015,"9-4-2015","Climate,Brexit",5,29
09apr2015,"9-4-2015","Other",2,29
10apr2015,"10-4-2015","Brexit Other",1,26
10apr2015,"10-4-2015","Brexit Politics",3,26
10apr2015,"10-4-2015","Climate",17,26
10apr2015,"10-4-2015","Climate,Brexit",3,26
10apr2015,"10-4-2015","Other",2,26
11apr2015,"11-4-2015","Brexit Business,Brexit Politics",1,19
11apr2015,"11-4-2015","Brexit Other",1,19
11apr2015,"11-4-2015","Climate",13,19
11apr2015,"11-4-2015","Climate,Brexit",4,19
12apr2015,"12-4-2015","Brexit Business",1,30
12apr2015,"12-4-2015","Brexit Immigration",1,30
12apr2015,"12-4-2015","Brexit Politics",3,30
12apr2015,"12-4-2015","Climate",19,30
12apr2015,"12-4-2015","Climate,Brexit",3,30
12apr2015,"12-4-2015","Other",3,30
13apr2015,"13-4-2015","Brexit Politics",4,21
13apr2015,"13-4-2015","Brexit Politics,Brexit Immigration",1,21
13apr2015,"13-4-2015","Climate",15,21
13apr2015,"13-4-2015","Climate,Brexit",1,21
14apr2015,"14-4-2015","Brexit Politics",2,32
14apr2015,"14-4-2015","Climate",21,32
14apr2015,"14-4-2015","Climate,Brexit",5,32
14apr2015,"14-4-2015","Other",4,32
15apr2015,"15-4-2015","Brexit Business,Brexit Politics",2,43
15apr2015,"15-4-2015","Brexit Politics",2,43
15apr2015,"15-4-2015","Climate",31,43
15apr2015,"15-4-2015","Climate,Brexit",5,43
15apr2015,"15-4-2015","Other",3,43
16apr2015,"16-4-2015","",1,44
16apr2015,"16-4-2015","Brexit Business",2,44
16apr2015,"16-4-2015","Brexit Immigration",1,44
16apr2015,"16-4-2015","Brexit Politics",1,44
16apr2015,"16-4-2015","Brexit Politics,Brexit Immigration",1,44
16apr2015,"16-4-2015","Climate",32,44
16apr2015,"16-4-2015","Climate,Brexit",2,44
16apr2015,"16-4-2015","Other",4,44
17apr2015,"17-4-2015","Brexit Business",1,40
17apr2015,"17-4-2015","Brexit Other",1,40
17apr2015,"17-4-2015","Climate",29,40
17apr2015,"17-4-2015","Climate,Brexit",5,40
17apr2015,"17-4-2015","Other",4,40
18apr2015,"18-4-2015","Brexit Business,Brexit Politics",1,27
18apr2015,"18-4-2015","Brexit Politics",3,27
18apr2015,"18-4-2015","Climate",18,27
18apr2015,"18-4-2015","Climate,Brexit",3,27
18apr2015,"18-4-2015","Other",2,27
19apr2015,"19-4-2015","Brexit Business",3,50
19apr2015,"19-4-2015","Brexit Business,Brexit Politics",1,50
19apr2015,"19-4-2015","Brexit Other",1,50
19apr2015,"19-4-2015","Brexit Politics",1,50
19apr2015,"19-4-2015","Climate",33,50
19apr2015,"19-4-2015","Climate,Brexit",3,50
19apr2015,"19-4-2015","Other",8,50
20apr2015,"20-4-2015","",1,40
20apr2015,"20-4-2015","Brexit Business,Brexit Politics",2,40
20apr2015,"20-4-2015","Brexit Politics",1,40
20apr2015,"20-4-2015","Climate",25,40
20apr2015,"20-4-2015","Climate,Brexit",3,40
20apr2015,"20-4-2015","Other",8,40
21apr2015,"21-4-2015","Brexit Business,Brexit Politics",2,62
21apr2015,"21-4-2015","Brexit Business,Brexit Politics,Brexit Immigration",1,62
21apr2015,"21-4-2015","Brexit Immigration",1,62
21apr2015,"21-4-2015","Brexit Politics",4,62
21apr2015,"21-4-2015","Climate",48,62
21apr2015,"21-4-2015","Climate,Brexit",2,62
21apr2015,"21-4-2015","Other",4,62
22apr2015,"22-4-2015","Brexit Business",2,53
22apr2015,"22-4-2015","Brexit Business,Brexit Politics",2,53
22apr2015,"22-4-2015","Brexit Immigration",1,53
22apr2015,"22-4-2015","Brexit Politics",1,53
22apr2015,"22-4-2015","Climate",35,53
22apr2015,"22-4-2015","Climate,Brexit",7,53
22apr2015,"22-4-2015","Other",5,53
23apr2015,"23-4-2015","Brexit Business",1,33
23apr2015,"23-4-2015","Brexit Politics",2,33
23apr2015,"23-4-2015","Climate",21,33
23apr2015,"23-4-2015","Climate,Brexit",8,33
23apr2015,"23-4-2015","Other",1,33
24apr2015,"24-4-2015","Brexit Business,Brexit Politics",1,39
24apr2015,"24-4-2015","Brexit Politics",1,39
24apr2015,"24-4-2015","Climate",26,39
24apr2015,"24-4-2015","Climate,Brexit",4,39
24apr2015,"24-4-2015","Other",7,39
25apr2015,"25-4-2015","Brexit Business,Brexit Immigration",1,29
25apr2015,"25-4-2015","Brexit Other",1,29
25apr2015,"25-4-2015","Climate",19,29
25apr2015,"25-4-2015","Other",8,29
26apr2015,"26-4-2015","Brexit Business",1,29
26apr2015,"26-4-2015","Brexit Business,Brexit Politics",1,29
26apr2015,"26-4-2015","Brexit Politics",1,29
26apr2015,"26-4-2015","Climate",21,29
26apr2015,"26-4-2015","Climate,Brexit",3,29
26apr2015,"26-4-2015","Other",2,29
27apr2015,"27-4-2015","Brexit Business",1,30
27apr2015,"27-4-2015","Brexit Business,Brexit Politics,Brexit Immigration",1,30
27apr2015,"27-4-2015","Brexit Politics",2,30
27apr2015,"27-4-2015","Climate",21,30
27apr2015,"27-4-2015","Climate,Brexit",1,30
27apr2015,"27-4-2015","Other",4,30
28apr2015,"28-4-2015","Brexit Business",1,30
28apr2015,"28-4-2015","Brexit Business,Brexit Politics",1,30
28apr2015,"28-4-2015","Climate",19,30
28apr2015,"28-4-2015","Climate,Brexit",4,30
28apr2015,"28-4-2015","Other",5,30
29apr2015,"29-4-2015","Brexit Business,Brexit Immigration",1,34
29apr2015,"29-4-2015","Brexit Immigration",1,34
29apr2015,"29-4-2015","Climate",24,34
29apr2015,"29-4-2015","Climate,Brexit",6,34
29apr2015,"29-4-2015","Other",2,34
30apr2015,"30-4-2015","Brexit Business,Brexit Politics",2,38
30apr2015,"30-4-2015","Brexit Immigration",1,38
30apr2015,"30-4-2015","Brexit Other",1,38
30apr2015,"30-4-2015","Brexit Politics",2,38
30apr2015,"30-4-2015","Climate",23,38
30apr2015,"30-4-2015","Climate,Brexit",2,38
30apr2015,"30-4-2015","Other",7,38
01may2015,"1-5-2015","",1,29
01may2015,"1-5-2015","Brexit Business",1,29
01may2015,"1-5-2015","Brexit Politics",3,29
01may2015,"1-5-2015","Climate",15,29
01may2015,"1-5-2015","Climate,Brexit",6,29
01may2015,"1-5-2015","Other",3,29
02may2015,"2-5-2015","Climate",14,16
02may2015,"2-5-2015","Climate,Brexit",1,16
02may2015,"2-5-2015","Other",1,16
03may2015,"3-5-2015","Brexit Business",2,31
03may2015,"3-5-2015","Brexit Business,Brexit Politics",2,31
03may2015,"3-5-2015","Brexit Politics",1,31
03may2015,"3-5-2015","Climate",20,31
03may2015,"3-5-2015","Climate,Brexit",4,31
03may2015,"3-5-2015","Other",2,31
04may2015,"4-5-2015","Brexit Business",1,26
04may2015,"4-5-2015","Brexit Politics",1,26
04may2015,"4-5-2015","Climate",20,26
04may2015,"4-5-2015","Climate,Brexit",3,26
04may2015,"4-5-2015","Other",1,26
05may2015,"5-5-2015","Brexit Business",2,30
05may2015,"5-5-2015","Brexit Business,Brexit Politics",1,30
05may2015,"5-5-2015","Brexit Politics",2,30
05may2015,"5-5-2015","Climate",20,30
05may2015,"5-5-2015","Climate,Brexit",2,30
05may2015,"5-5-2015","Other",3,30
06may2015,"6-5-2015","Brexit Other",1,31
06may2015,"6-5-2015","Climate",23,31
06may2015,"6-5-2015","Climate,Brexit",4,31
06may2015,"6-5-2015","Other",3,31
07may2015,"7-5-2015","",1,41
07may2015,"7-5-2015","Brexit Business,Brexit Politics",1,41
07may2015,"7-5-2015","Brexit Immigration",1,41
07may2015,"7-5-2015","Brexit Politics",1,41
07may2015,"7-5-2015","Climate",27,41
07may2015,"7-5-2015","Climate,Brexit",7,41
07may2015,"7-5-2015","Other",3,41
08may2015,"8-5-2015","Brexit Business",1,41
08may2015,"8-5-2015","Brexit Business,Brexit Politics",1,41
08may2015,"8-5-2015","Brexit Politics",3,41
08may2015,"8-5-2015","Climate",27,41
08may2015,"8-5-2015","Climate,Brexit",5,41
08may2015,"8-5-2015","Other",4,41
09may2015,"9-5-2015","Brexit Business,Brexit Politics",1,31
09may2015,"9-5-2015","Brexit Other",3,31
09may2015,"9-5-2015","Brexit Politics",2,31
09may2015,"9-5-2015","Climate",16,31
09may2015,"9-5-2015","Climate,Brexit",3,31
09may2015,"9-5-2015","Other",6,31
10may2015,"10-5-2015","Brexit Business",1,29
10may2015,"10-5-2015","Brexit Politics",2,29
10may2015,"10-5-2015","Climate",15,29
10may2015,"10-5-2015","Climate,Brexit",5,29
10may2015,"10-5-2015","Other",6,29
11may2015,"11-5-2015","Brexit Immigration",4,39
11may2015,"11-5-2015","Brexit Politics",4,39
11may2015,"11-5-2015","Climate",19,39
11may2015,"11-5-2015","Climate,Brexit",8,39
11may2015,"11-5-2015","Other",4,39
12may2015,"12-5-2015","Brexit Business,Brexit Politics",1,31
12may2015,"12-5-2015","Brexit Politics",3,31
12may2015,"12-5-2015","Climate",23,31
12may2015,"12-5-2015","Climate,Brexit",4,31
13may2015,"13-5-2015","Brexit Business",1,51
13may2015,"13-5-2015","Brexit Business,Brexit Politics",1,51
13may2015,"13-5-2015","Brexit Business,Brexit Politics,Brexit Immigration",2,51
13may2015,"13-5-2015","Brexit Immigration",1,51
13may2015,"13-5-2015","Brexit Politics",9,51
13may2015,"13-5-2015","Brexit Politics,Brexit Immigration",1,51
13may2015,"13-5-2015","Climate",20,51
13may2015,"13-5-2015","Climate,Brexit",10,51
13may2015,"13-5-2015","Other",6,51
14may2015,"14-5-2015","Brexit Business",3,72
14may2015,"14-5-2015","Brexit Business,Brexit Politics",1,72
14may2015,"14-5-2015","Brexit Business,Brexit Politics,Brexit Immigration",1,72
14may2015,"14-5-2015","Brexit Politics",1,72
14may2015,"14-5-2015","Climate",54,72
14may2015,"14-5-2015","Climate,Brexit",7,72
14may2015,"14-5-2015","Other",5,72
15may2015,"15-5-2015","Brexit Politics",3,39
15may2015,"15-5-2015","Climate",26,39
15may2015,"15-5-2015","Climate,Brexit",4,39
15may2015,"15-5-2015","Other",6,39
16may2015,"16-5-2015","Brexit Politics",4,27
16may2015,"16-5-2015","Climate",15,27
16may2015,"16-5-2015","Climate,Brexit",5,27
16may2015,"16-5-2015","Other",3,27
17may2015,"17-5-2015","Brexit Business",1,54
17may2015,"17-5-2015","Brexit Business,Brexit Immigration",1,54
17may2015,"17-5-2015","Brexit Business,Brexit Politics",1,54
17may2015,"17-5-2015","Brexit Business,Brexit Politics,Brexit Immigration",1,54
17may2015,"17-5-2015","Brexit Other",1,54
17may2015,"17-5-2015","Brexit Politics",4,54
17may2015,"17-5-2015","Brexit Politics,Brexit Immigration",1,54
17may2015,"17-5-2015","Climate",30,54
17may2015,"17-5-2015","Climate,Brexit",11,54
17may2015,"17-5-2015","Other",3,54
18may2015,"18-5-2015","Brexit Business,Brexit Politics",2,37
18may2015,"18-5-2015","Brexit Other",2,37
18may2015,"18-5-2015","Brexit Politics",5,37
18may2015,"18-5-2015","Climate",20,37
18may2015,"18-5-2015","Climate,Brexit",5,37
18may2015,"18-5-2015","Other",3,37
19may2015,"19-5-2015","Brexit Business",3,29
19may2015,"19-5-2015","Brexit Business,Brexit Politics",1,29
19may2015,"19-5-2015","Brexit Business,Brexit Politics,Brexit Immigration",1,29
19may2015,"19-5-2015","Brexit Politics",4,29
19may2015,"19-5-2015","Climate",16,29
19may2015,"19-5-2015","Climate,Brexit",3,29
19may2015,"19-5-2015","Other",1,29
20may2015,"20-5-2015","Brexit Business",2,52
20may2015,"20-5-2015","Brexit Business,Brexit Politics",1,52
20may2015,"20-5-2015","Brexit Politics",4,52
20may2015,"20-5-2015","Climate",34,52
20may2015,"20-5-2015","Climate,Brexit",6,52
20may2015,"20-5-2015","Other",5,52
21may2015,"21-5-2015","Brexit Business,Brexit Politics",1,43
21may2015,"21-5-2015","Brexit Politics",5,43
21may2015,"21-5-2015","Climate",27,43
21may2015,"21-5-2015","Climate,Brexit",5,43
21may2015,"21-5-2015","Other",5,43
22may2015,"22-5-2015","Brexit Business",2,40
22may2015,"22-5-2015","Brexit Business,Brexit Politics",1,40
22may2015,"22-5-2015","Brexit Politics",7,40
22may2015,"22-5-2015","Climate",19,40
22may2015,"22-5-2015","Climate,Brexit",9,40
22may2015,"22-5-2015","Other",2,40
23may2015,"23-5-2015","Brexit Business",3,28
23may2015,"23-5-2015","Brexit Other",1,28
23may2015,"23-5-2015","Climate",16,28
23may2015,"23-5-2015","Climate,Brexit",6,28
23may2015,"23-5-2015","Other",2,28
24may2015,"24-5-2015","Brexit Business",2,33
24may2015,"24-5-2015","Brexit Business,Brexit Politics,Brexit Immigration",1,33
24may2015,"24-5-2015","Brexit Other",1,33
24may2015,"24-5-2015","Brexit Politics",5,33
24may2015,"24-5-2015","Climate",14,33
24may2015,"24-5-2015","Climate,Brexit",7,33
24may2015,"24-5-2015","Other",3,33
25may2015,"25-5-2015","",1,36
25may2015,"25-5-2015","Brexit Business",1,36
25may2015,"25-5-2015","Brexit Politics",8,36
25may2015,"25-5-2015","Climate",19,36
25may2015,"25-5-2015","Climate,Brexit",4,36
25may2015,"25-5-2015","Other",3,36
26may2015,"26-5-2015","Brexit Business",2,41
26may2015,"26-5-2015","Brexit Business,Brexit Politics",2,41
26may2015,"26-5-2015","Brexit Business,Brexit Politics,Brexit Immigration",1,41
26may2015,"26-5-2015","Brexit Immigration",1,41
26may2015,"26-5-2015","Brexit Politics",4,41
26may2015,"26-5-2015","Climate",21,41
26may2015,"26-5-2015","Climate,Brexit",6,41
26may2015,"26-5-2015","Other",4,41
27may2015,"27-5-2015","Brexit Business,Brexit Politics",2,28
27may2015,"27-5-2015","Brexit Other",2,28
27may2015,"27-5-2015","Brexit Politics",5,28
27may2015,"27-5-2015","Brexit Politics,Brexit Immigration",1,28
27may2015,"27-5-2015","Climate",13,28
27may2015,"27-5-2015","Climate,Brexit",4,28
27may2015,"27-5-2015","Other",1,28
28may2015,"28-5-2015","Brexit Business",1,32
28may2015,"28-5-2015","Brexit Business,Brexit Politics",1,32
28may2015,"28-5-2015","Brexit Politics",5,32
28may2015,"28-5-2015","Climate",14,32
28may2015,"28-5-2015","Climate,Brexit",6,32
28may2015,"28-5-2015","Other",5,32
29may2015,"29-5-2015","Brexit Business,Brexit Politics",1,31
29may2015,"29-5-2015","Brexit Politics",3,31
29may2015,"29-5-2015","Climate",17,31
29may2015,"29-5-2015","Climate,Brexit",9,31
29may2015,"29-5-2015","Other",1,31
30may2015,"30-5-2015","Brexit Business,Brexit Politics",1,14
30may2015,"30-5-2015","Brexit Other",1,14
30may2015,"30-5-2015","Brexit Politics",3,14
30may2015,"30-5-2015","Climate",7,14
30may2015,"30-5-2015","Climate,Brexit",2,14
31may2015,"31-5-2015","Brexit Business",2,48
31may2015,"31-5-2015","Brexit Business,Brexit Politics",2,48
31may2015,"31-5-2015","Brexit Politics",9,48
31may2015,"31-5-2015","Climate",26,48
31may2015,"31-5-2015","Climate,Brexit",7,48
31may2015,"31-5-2015","Other",2,48
01jun2015,"1-6-2015","Brexit Business",3,47
01jun2015,"1-6-2015","Brexit Other",1,47
01jun2015,"1-6-2015","Brexit Politics",3,47
01jun2015,"1-6-2015","Climate",31,47
01jun2015,"1-6-2015","Climate,Brexit",6,47
01jun2015,"1-6-2015","Other",3,47
02jun2015,"2-6-2015","Brexit Business",2,44
02jun2015,"2-6-2015","Brexit Other",1,44
02jun2015,"2-6-2015","Brexit Politics",2,44
02jun2015,"2-6-2015","Climate",25,44
02jun2015,"2-6-2015","Climate,Brexit",8,44
02jun2015,"2-6-2015","Other",6,44
03jun2015,"3-6-2015","Brexit Business,Brexit Politics",1,22
03jun2015,"3-6-2015","Brexit Other",1,22
03jun2015,"3-6-2015","Brexit Politics",2,22
03jun2015,"3-6-2015","Climate",15,22
03jun2015,"3-6-2015","Climate,Brexit",3,22
04jun2015,"4-6-2015","Brexit Business",5,43
04jun2015,"4-6-2015","Brexit Business,Brexit Politics",2,43
04jun2015,"4-6-2015","Brexit Politics",5,43
04jun2015,"4-6-2015","Brexit Politics,Brexit Immigration",1,43
04jun2015,"4-6-2015","Climate",19,43
04jun2015,"4-6-2015","Climate,Brexit",5,43
04jun2015,"4-6-2015","Other",6,43
05jun2015,"5-6-2015","Brexit Business,Brexit Politics",2,48
05jun2015,"5-6-2015","Brexit Politics",3,48
05jun2015,"5-6-2015","Climate",30,48
05jun2015,"5-6-2015","Climate,Brexit",7,48
05jun2015,"5-6-2015","Other",6,48
06jun2015,"6-6-2015","Brexit Business",1,33
06jun2015,"6-6-2015","Brexit Immigration",1,33
06jun2015,"6-6-2015","Brexit Politics",1,33
06jun2015,"6-6-2015","Climate",23,33
06jun2015,"6-6-2015","Climate,Brexit",5,33
06jun2015,"6-6-2015","Other",2,33
07jun2015,"7-6-2015","",1,48
07jun2015,"7-6-2015","Brexit Politics",5,48
07jun2015,"7-6-2015","Climate",28,48
07jun2015,"7-6-2015","Climate,Brexit",9,48
07jun2015,"7-6-2015","Other",5,48
08jun2015,"8-6-2015","Brexit Politics",5,46
08jun2015,"8-6-2015","Climate",31,46
08jun2015,"8-6-2015","Climate,Brexit",8,46
08jun2015,"8-6-2015","Other",2,46
09jun2015,"9-6-2015","Brexit Business,Brexit Politics",1,56
09jun2015,"9-6-2015","Brexit Other",1,56
09jun2015,"9-6-2015","Brexit Politics",8,56
09jun2015,"9-6-2015","Climate",34,56
09jun2015,"9-6-2015","Climate,Brexit",9,56
09jun2015,"9-6-2015","Other",3,56
10jun2015,"10-6-2015","",1,43
