date1,date,newspaper,headline_classification,stories,polarityheadline,subjectivityheadline,total_stories
04mar2015,"4-3-2015","Evening Standard","Other",2,-.01666667,.08333333,2
04mar2015,"4-3-2015","Express","Other",1,0,0,1
04mar2015,"4-3-2015","The Independent","",1,,,12
04mar2015,"4-3-2015","The Independent","Brexit Business",1,0,0,12
04mar2015,"4-3-2015","The Independent","Climate",2,.20833333,.25,12
04mar2015,"4-3-2015","The Independent","Other",8,.046875,.2734375,12
04mar2015,"4-3-2015","The Times","Climate",1,.5,.5,17
04mar2015,"4-3-2015","The Times","Other",16,-.03224826,.12465278,17
05mar2015,"5-3-2015","Daily Mail","Climate",2,-.025,.2,5
05mar2015,"5-3-2015","Daily Mail","Other",3,-.10555556,.10555556,5
05mar2015,"5-3-2015","Evening Standard","Other",2,-.45,.525,2
05mar2015,"5-3-2015","Express","Brexit Immigration",1,0,0,6
05mar2015,"5-3-2015","Express","Brexit Other",1,0,0,6
05mar2015,"5-3-2015","Express","Climate",2,.35,.45,6
05mar2015,"5-3-2015","Express","Other",2,-.1,.375,6
05mar2015,"5-3-2015","The Guardian","Other",1,0,0,1
05mar2015,"5-3-2015","The Independent","Climate",1,.8,.9,6
05mar2015,"5-3-2015","The Independent","Other",5,.0475,.15,6
05mar2015,"5-3-2015","The Times","Other",11,.19494949,.28308081,11
06mar2015,"6-3-2015","Daily Mail","Brexit Business,Brexit Immigration",1,.11111111,.22222222,9
06mar2015,"6-3-2015","Daily Mail","Climate",1,.25833333,.29166667,9
06mar2015,"6-3-2015","Daily Mail","Other",7,-.10407493,.49800041,9
06mar2015,"6-3-2015","Evening Standard","Other",3,-.10833333,.15,3
06mar2015,"6-3-2015","Express","Brexit Other",2,0,.28125,7
06mar2015,"6-3-2015","Express","Climate",1,-.4,.7,7
06mar2015,"6-3-2015","Express","Other",4,-.07916667,.26666667,7
06mar2015,"6-3-2015","The Guardian","Climate",1,-.6,.8,1
06mar2015,"6-3-2015","The Independent","Brexit Other",1,0,0,7
06mar2015,"6-3-2015","The Independent","Brexit Politics",1,0,0,7
06mar2015,"6-3-2015","The Independent","Other",5,-.04506061,.34424242,7
06mar2015,"6-3-2015","The Times","Other",10,.05083333,.14916667,10
07mar2015,"7-3-2015","Daily Mail","Climate",3,.10833333,.21265432,10
07mar2015,"7-3-2015","Daily Mail","Climate,Brexit",1,0,0,10
07mar2015,"7-3-2015","Daily Mail","Other",6,-.06598876,.41698082,10
07mar2015,"7-3-2015","Evening Standard","Climate",1,0,.05,1
07mar2015,"7-3-2015","The Guardian","Other",1,.13636364,.45454545,1
07mar2015,"7-3-2015","The Independent","Brexit Other",1,-.2,.4,5
07mar2015,"7-3-2015","The Independent","Brexit Politics",1,0,0,5
07mar2015,"7-3-2015","The Independent","Other",3,.08333333,.27777778,5
07mar2015,"7-3-2015","The Times","Brexit Other",1,0,0,9
07mar2015,"7-3-2015","The Times","Climate",2,-.16666667,.25,9
07mar2015,"7-3-2015","The Times","Other",6,-.07916667,.325,9
08mar2015,"8-3-2015","Daily Mail","Brexit Other",1,.16111111,.34722222,6
08mar2015,"8-3-2015","Daily Mail","Climate",2,.075,.1375,6
08mar2015,"8-3-2015","Daily Mail","Other",3,-.20925926,.28148148,6
08mar2015,"8-3-2015","Express","Brexit Politics",1,.8,.4,4
08mar2015,"8-3-2015","Express","Climate",1,.11818182,.42727273,4
08mar2015,"8-3-2015","Express","Other",2,0,0,4
08mar2015,"8-3-2015","The Independent","Climate",4,-.00825216,.17467532,10
08mar2015,"8-3-2015","The Independent","Other",6,.0375,.19861111,10
08mar2015,"8-3-2015","The Times","Brexit Other",1,.08333333,.16666667,14
08mar2015,"8-3-2015","The Times","Climate",3,-.10555556,.1,14
08mar2015,"8-3-2015","The Times","Other",10,.1,.25222222,14
09mar2015,"9-3-2015","Daily Mail","Climate",2,.00833333,.01666667,7
09mar2015,"9-3-2015","Daily Mail","Other",5,-.04386364,.31628788,7
09mar2015,"9-3-2015","Evening Standard","Climate",1,0,0,1
09mar2015,"9-3-2015","Express","Brexit Other",1,0,0,8
09mar2015,"9-3-2015","Express","Climate",1,-.2,.4,8
09mar2015,"9-3-2015","Express","Climate,Brexit",1,0,0,8
09mar2015,"9-3-2015","Express","Other",5,.0875,.2125,8
09mar2015,"9-3-2015","The Guardian","Brexit Other",1,0,0,1
09mar2015,"9-3-2015","The Independent","Brexit Other",1,0,0,6
09mar2015,"9-3-2015","The Independent","Other",5,-.12285714,.45142857,6
09mar2015,"9-3-2015","The Times","Other",8,-.1265625,.1328125,8
10mar2015,"10-3-2015","Express","Brexit Business",1,.5,.5,6
10mar2015,"10-3-2015","Express","Brexit Other",1,.2,.2,6
10mar2015,"10-3-2015","Express","Other",4,.03409091,.11363636,6
10mar2015,"10-3-2015","The Independent","Brexit Other",1,0,0,8
10mar2015,"10-3-2015","The Independent","Brexit Politics",1,0,0,8
10mar2015,"10-3-2015","The Independent","Climate",1,-.25,.5,8
10mar2015,"10-3-2015","The Independent","Other",5,.06666667,.1,8
10mar2015,"10-3-2015","The Times","Other",6,.04886364,.10871212,6
11mar2015,"11-3-2015","Daily Mail","Brexit Immigration",1,.2,.1,11
11mar2015,"11-3-2015","Daily Mail","Brexit Other",1,.25,.25,11
11mar2015,"11-3-2015","Daily Mail","Brexit Politics",2,-.25,.275,11
11mar2015,"11-3-2015","Daily Mail","Climate",3,.20238095,.44047619,11
11mar2015,"11-3-2015","Daily Mail","Other",4,-.09375,.5375,11
11mar2015,"11-3-2015","Express","Brexit Business",1,-.1,.1,3
11mar2015,"11-3-2015","Express","Brexit Other",1,0,0,3
11mar2015,"11-3-2015","Express","Brexit Politics,Brexit Immigration",1,0,0,3
11mar2015,"11-3-2015","The Independent","Climate",4,.1,.05,7
11mar2015,"11-3-2015","The Independent","Other",3,.23333333,.33333333,7
11mar2015,"11-3-2015","The Times","Brexit Other",3,0,.03333333,8
11mar2015,"11-3-2015","The Times","Climate",1,0,0,8
11mar2015,"11-3-2015","The Times","Other",4,-.10357143,.17678571,8
12mar2015,"12-3-2015","Daily Mail","Brexit Politics",1,-.03333333,.03333333,8
12mar2015,"12-3-2015","Daily Mail","Climate",2,.2,.35,8
12mar2015,"12-3-2015","Daily Mail","Other",5,.11185606,.36993687,8
12mar2015,"12-3-2015","Evening Standard","Other",1,0,0,1
12mar2015,"12-3-2015","Express","Brexit Business,Brexit Politics",1,-.6,.9,4
12mar2015,"12-3-2015","Express","Brexit Politics",1,0,0,4
12mar2015,"12-3-2015","Express","Climate",2,.23409091,.21363636,4
12mar2015,"12-3-2015","The Guardian","Brexit Other",1,0,0,1
12mar2015,"12-3-2015","The Independent","Climate",1,0,0,5
12mar2015,"12-3-2015","The Independent","Other",4,-.3125,.2875,5
12mar2015,"12-3-2015","The Times","Climate",1,0,0,11
12mar2015,"12-3-2015","The Times","Other",10,-.06667478,.1927408,11
13mar2015,"13-3-2015","Daily Mail","Brexit Politics",1,-.125,.125,3
13mar2015,"13-3-2015","Daily Mail","Climate",1,-.3,.48,3
13mar2015,"13-3-2015","Daily Mail","Other",1,.4,.7,3
13mar2015,"13-3-2015","Evening Standard","Climate",1,-.125,.375,2
13mar2015,"13-3-2015","Evening Standard","Other",1,.3,.5,2
13mar2015,"13-3-2015","Express","Brexit Business",1,0,0,3
13mar2015,"13-3-2015","Express","Other",2,-.225,.28333333,3
13mar2015,"13-3-2015","The Independent","Brexit Other",1,0,0,4
13mar2015,"13-3-2015","The Independent","Climate",1,.1,.4,4
13mar2015,"13-3-2015","The Independent","Other",2,.35,.3,4
13mar2015,"13-3-2015","The Times","Brexit Politics",1,-.25,.5,8
13mar2015,"13-3-2015","The Times","Other",7,-.17380952,.25416667,8
14mar2015,"14-3-2015","Daily Mail","Climate",2,-.15,.48333333,6
14mar2015,"14-3-2015","Daily Mail","Other",4,-.00530303,.34166667,6
14mar2015,"14-3-2015","Evening Standard","Other",1,1,1,1
14mar2015,"14-3-2015","Express","Brexit Immigration",1,0,0,4
14mar2015,"14-3-2015","Express","Brexit Politics",1,.25,.25,4
14mar2015,"14-3-2015","Express","Other",2,.275,.5,4
14mar2015,"14-3-2015","The Independent","Other",4,.075,.13333333,4
14mar2015,"14-3-2015","The Times","Other",8,.04289773,.26799242,8
15mar2015,"15-3-2015","Daily Mail","Brexit Business",1,0,0,3
15mar2015,"15-3-2015","Daily Mail","Other",2,0,0,3
15mar2015,"15-3-2015","Express","Climate",1,0,1,2
15mar2015,"15-3-2015","Express","Other",1,0,0,2
15mar2015,"15-3-2015","The Guardian","Other",1,0,0,1
15mar2015,"15-3-2015","The Independent","Climate",1,.1,0,1
15mar2015,"15-3-2015","The Times","Brexit Business",1,0,0,14
15mar2015,"15-3-2015","The Times","Climate",1,0,0,14
15mar2015,"15-3-2015","The Times","Other",12,.15277778,.31388889,14
16mar2015,"16-3-2015","Daily Mail","Climate",2,.025,.28125,11
16mar2015,"16-3-2015","Daily Mail","Climate,Brexit",1,-.0625,.0625,11
16mar2015,"16-3-2015","Daily Mail","Other",8,.16739403,.38998241,11
16mar2015,"16-3-2015","Evening Standard","Other",1,0,0,1
16mar2015,"16-3-2015","Express","Climate",2,-.125,.375,6
16mar2015,"16-3-2015","Express","Other",4,.125,.125,6
16mar2015,"16-3-2015","The Guardian","Other",1,0,0,1
16mar2015,"16-3-2015","The Independent","Climate",2,0,0,7
16mar2015,"16-3-2015","The Independent","Other",5,-.01555556,.02888889,7
16mar2015,"16-3-2015","The Times","Other",10,-.00531746,.18134921,10
17mar2015,"17-3-2015","Daily Mail","Climate",2,-.05028409,.54801136,5
17mar2015,"17-3-2015","Daily Mail","Other",3,.02222222,.25555556,5
17mar2015,"17-3-2015","Evening Standard","Climate",1,0,0,1
17mar2015,"17-3-2015","Express","Brexit Other",1,-.66666667,1,8
17mar2015,"17-3-2015","Express","Climate",3,.06666667,.4,8
17mar2015,"17-3-2015","Express","Other",4,.06279762,.30238095,8
17mar2015,"17-3-2015","The Independent","Brexit Other",1,-.08333333,.08333333,7
17mar2015,"17-3-2015","The Independent","Brexit Politics",1,.06818182,.22727273,7
17mar2015,"17-3-2015","The Independent","Climate",2,-.1,.475,7
17mar2015,"17-3-2015","The Independent","Other",3,.10555556,.22777778,7
17mar2015,"17-3-2015","The Times","Climate",1,0,0,6
17mar2015,"17-3-2015","The Times","Other",5,.11575758,.13030303,6
18mar2015,"18-3-2015","Daily Mail","Climate",6,-.10447531,.13271605,9
18mar2015,"18-3-2015","Daily Mail","Other",3,-.02777778,.07222222,9
18mar2015,"18-3-2015","Evening Standard","Climate",2,.025,.675,4
18mar2015,"18-3-2015","Evening Standard","Other",2,.03,.27,4
18mar2015,"18-3-2015","Express","Brexit Other",2,0,0,7
18mar2015,"18-3-2015","Express","Climate",2,.00284091,.20738636,7
18mar2015,"18-3-2015","Express","Other",3,.02424242,.36969697,7
18mar2015,"18-3-2015","The Independent","Brexit Other",1,-.125,.125,4
18mar2015,"18-3-2015","The Independent","Other",3,-.14393939,.24242424,4
18mar2015,"18-3-2015","The Times","Other",5,.0375,.25083333,5
19mar2015,"19-3-2015","Daily Mail","Climate",2,.10454545,.14431818,4
19mar2015,"19-3-2015","Daily Mail","Other",2,.08333333,.26666667,4
19mar2015,"19-3-2015","Evening Standard","Climate",1,.25,.25,5
19mar2015,"19-3-2015","Evening Standard","Other",4,.0234375,.3,5
19mar2015,"19-3-2015","Express","Climate",1,0,0,3
19mar2015,"19-3-2015","Express","Other",2,-.0625,.1875,3
19mar2015,"19-3-2015","The Guardian","Other",3,-.10833333,.26944444,3
19mar2015,"19-3-2015","The Independent","Brexit Other",1,.5,.5,9
19mar2015,"19-3-2015","The Independent","Climate",2,0,0,9
19mar2015,"19-3-2015","The Independent","Other",6,.08939394,.39242424,9
19mar2015,"19-3-2015","The Times","Brexit Other",1,-.4,.6,10
19mar2015,"19-3-2015","The Times","Climate",3,-.10833333,.175,10
19mar2015,"19-3-2015","The Times","Other",6,.06231061,.24659091,10
20mar2015,"20-3-2015","Daily Mail","Brexit Other",1,.33333333,.1,9
20mar2015,"20-3-2015","Daily Mail","Brexit Politics",1,.06666667,.7,9
20mar2015,"20-3-2015","Daily Mail","Climate",1,0,.06666667,9
20mar2015,"20-3-2015","Daily Mail","Other",6,-.11666667,.37407407,9
20mar2015,"20-3-2015","Evening Standard","Other",3,.21111111,.44444444,3
20mar2015,"20-3-2015","Express","Brexit Business,Brexit Politics",1,0,0,9
20mar2015,"20-3-2015","Express","Brexit Immigration",1,-.5,.5,9
20mar2015,"20-3-2015","Express","Climate",1,-1,1,9
20mar2015,"20-3-2015","Express","Other",6,-.02380952,.18690476,9
20mar2015,"20-3-2015","The Independent","Climate",2,0,0,7
20mar2015,"20-3-2015","The Independent","Other",5,-.25833333,.33333333,7
20mar2015,"20-3-2015","The Times","Brexit Politics",1,0,0,10
20mar2015,"20-3-2015","The Times","Climate",3,.25606061,.22222222,10
20mar2015,"20-3-2015","The Times","Other",6,.13333333,.03333333,10
21mar2015,"21-3-2015","Daily Mail","Other",1,-.1,.43333333,1
21mar2015,"21-3-2015","Evening Standard","Other",1,0,0,1
21mar2015,"21-3-2015","Express","Other",3,0,.46666667,3
21mar2015,"21-3-2015","The Independent","Brexit Other",1,0,0,3
21mar2015,"21-3-2015","The Independent","Climate",1,.06666667,.7,3
21mar2015,"21-3-2015","The Independent","Other",1,0,0,3
21mar2015,"21-3-2015","The Times","Brexit Other",1,-.5,.3,10
21mar2015,"21-3-2015","The Times","Climate",3,-.16666667,.16666667,10
21mar2015,"21-3-2015","The Times","Other",6,-.08194444,.38333333,10
22mar2015,"22-3-2015","Daily Mail","Climate",2,-.4375,.58333333,6
22mar2015,"22-3-2015","Daily Mail","Other",4,-.02863095,.26220238,6
22mar2015,"22-3-2015","Express","Brexit Other",1,.2,.1,2
22mar2015,"22-3-2015","Express","Other",1,-.3,.4,2
22mar2015,"22-3-2015","The Guardian","Other",1,0,0,1
22mar2015,"22-3-2015","The Independent","Climate",1,.43333333,.41666667,2
22mar2015,"22-3-2015","The Independent","Other",1,0,0,2
22mar2015,"22-3-2015","The Times","Climate",3,0,0,21
22mar2015,"22-3-2015","The Times","Other",18,.04814815,.06018519,21
23mar2015,"23-3-2015","Daily Mail","Climate",2,-.05,.0125,5
23mar2015,"23-3-2015","Daily Mail","Other",3,.06111111,.55,5
23mar2015,"23-3-2015","Evening Standard","Climate",2,.08,.295,2
23mar2015,"23-3-2015","Express","Brexit Immigration",1,-.5,.4,2
23mar2015,"23-3-2015","Express","Climate",1,0,0,2
23mar2015,"23-3-2015","The Guardian","Brexit Business,Brexit Politics",1,0,0,2
23mar2015,"23-3-2015","The Guardian","Climate",1,.125,.16666667,2
23mar2015,"23-3-2015","The Independent","Brexit Business,Brexit Politics",1,0,0,7
23mar2015,"23-3-2015","The Independent","Climate",2,0,.0625,7
23mar2015,"23-3-2015","The Independent","Climate,Brexit",1,-.125,.125,7
23mar2015,"23-3-2015","The Independent","Other",3,-.13333333,.23333333,7
23mar2015,"23-3-2015","The Times","Brexit Other",1,0,0,13
23mar2015,"23-3-2015","The Times","Climate",1,0,0,13
23mar2015,"23-3-2015","The Times","Other",11,-.04659091,.29810606,13
24mar2015,"24-3-2015","Daily Mail","Climate",1,0,0,3
24mar2015,"24-3-2015","Daily Mail","Other",2,-.05,.18333333,3
24mar2015,"24-3-2015","Express","Climate",2,-.03888889,.32222222,5
24mar2015,"24-3-2015","Express","Other",3,0,0,5
24mar2015,"24-3-2015","The Guardian","Climate",1,.3,.1,3
24mar2015,"24-3-2015","The Guardian","Other",2,0,0,3
24mar2015,"24-3-2015","The Independent","Climate",2,-.00925926,.24814815,4
24mar2015,"24-3-2015","The Independent","Other",2,.09166667,.33333333,4
24mar2015,"24-3-2015","The Times","Climate",1,0,0,8
24mar2015,"24-3-2015","The Times","Other",7,.20714286,.4125,8
25mar2015,"25-3-2015","Daily Mail","Brexit Other",1,-.15555556,.28888889,13
25mar2015,"25-3-2015","Daily Mail","Climate",4,.1099274,.26723485,13
25mar2015,"25-3-2015","Daily Mail","Other",8,-.0125372,.26481895,13
25mar2015,"25-3-2015","Express","Brexit Other",1,0,0,5
25mar2015,"25-3-2015","Express","Climate",1,-1,1,5
25mar2015,"25-3-2015","Express","Other",3,-.04166667,.04166667,5
25mar2015,"25-3-2015","The Independent","Brexit Other",2,.2,.1875,5
25mar2015,"25-3-2015","The Independent","Other",3,0,0,5
25mar2015,"25-3-2015","The Times","Climate",3,.13333333,.54444444,10
25mar2015,"25-3-2015","The Times","Other",7,.05119048,.08531746,10
26mar2015,"26-3-2015","Daily Mail","Brexit Other",1,-.3,.45,5
26mar2015,"26-3-2015","Daily Mail","Other",4,.07946429,.32321429,5
26mar2015,"26-3-2015","Evening Standard","Other",2,.06333333,.33333333,2
26mar2015,"26-3-2015","Express","Brexit Other",1,0,0,6
26mar2015,"26-3-2015","Express","Other",5,.03939394,.15909091,6
26mar2015,"26-3-2015","The Independent","Other",2,0,0,2
26mar2015,"26-3-2015","The Times","Climate",1,0,0,4
26mar2015,"26-3-2015","The Times","Other",3,-.33333333,.33333333,4
27mar2015,"27-3-2015","Daily Mail","Brexit Other",1,0,.16666667,4
27mar2015,"27-3-2015","Daily Mail","Other",3,-.03944444,.29,4
27mar2015,"27-3-2015","Evening Standard","Other",2,0,0,2
27mar2015,"27-3-2015","Express","Other",5,-.0430303,.56545455,5
27mar2015,"27-3-2015","The Independent","",1,,,8
27mar2015,"27-3-2015","The Independent","Climate",3,.02323232,.403367,8
27mar2015,"27-3-2015","The Independent","Other",4,.03125,.1,8
27mar2015,"27-3-2015","The Times","Other",6,.01666667,.18888889,6
28mar2015,"28-3-2015","Daily Mail","Climate",2,0,0,6
28mar2015,"28-3-2015","Daily Mail","Other",4,.08352273,.36660354,6
28mar2015,"28-3-2015","Evening Standard","Climate",1,0,0,1
28mar2015,"28-3-2015","Express","Brexit Immigration",1,.25,.25,6
28mar2015,"28-3-2015","Express","Climate",4,-.265625,.265625,6
28mar2015,"28-3-2015","Express","Other",1,.5,.5,6
28mar2015,"28-3-2015","The Independent","Brexit Other",1,.1,.36666667,3
28mar2015,"28-3-2015","The Independent","Climate",1,0,0,3
28mar2015,"28-3-2015","The Independent","Other",1,.55,.75,3
28mar2015,"28-3-2015","The Times","Brexit Other",1,0,0,5
28mar2015,"28-3-2015","The Times","Climate",1,-.2,0,5
28mar2015,"28-3-2015","The Times","Other",3,0,.33333333,5
29mar2015,"29-3-2015","Daily Mail","Other",4,.0109375,.29947917,4
29mar2015,"29-3-2015","Express","Brexit Other",1,0,0,3
29mar2015,"29-3-2015","Express","Other",2,0,0,3
29mar2015,"29-3-2015","The Guardian","Brexit Politics",1,0,0,2
29mar2015,"29-3-2015","The Guardian","Other",1,.13636364,.45454545,2
29mar2015,"29-3-2015","The Independent","Brexit Other",1,-.0625,.0625,9
29mar2015,"29-3-2015","The Independent","Brexit Politics",1,.05,.5,9
29mar2015,"29-3-2015","The Independent","Climate",1,-.2,0,9
29mar2015,"29-3-2015","The Independent","Other",6,.03958333,.11041667,9
29mar2015,"29-3-2015","The Times","Brexit Other",1,-.4,.7,17
29mar2015,"29-3-2015","The Times","Brexit Politics",1,0,0,17
29mar2015,"29-3-2015","The Times","Climate",3,-.06296296,.47777778,17
29mar2015,"29-3-2015","The Times","Other",12,.06805556,.13055556,17
30mar2015,"30-3-2015","Daily Mail","Brexit Immigration",1,-.025,.35,10
30mar2015,"30-3-2015","Daily Mail","Climate",3,.13333333,.44583333,10
30mar2015,"30-3-2015","Daily Mail","Other",6,.20498737,.61616162,10
30mar2015,"30-3-2015","Evening Standard","Other",1,.05,.5,1
30mar2015,"30-3-2015","Express","Climate",1,-.2,.5,6
30mar2015,"30-3-2015","Express","Other",5,.06681818,.35022727,6
30mar2015,"30-3-2015","The Independent","Brexit Politics",1,.4,1,10
30mar2015,"30-3-2015","The Independent","Climate",2,.425,.7,10
30mar2015,"30-3-2015","The Independent","Other",7,.06948052,.37386364,10
30mar2015,"30-3-2015","The Times","Climate",1,0,.15,6
30mar2015,"30-3-2015","The Times","Other",5,-.02,.1,6
31mar2015,"31-3-2015","Daily Mail","Other",6,-.01085859,.25732323,6
31mar2015,"31-3-2015","Evening Standard","Climate",1,0,0,3
31mar2015,"31-3-2015","Evening Standard","Other",2,.1,.1,3
31mar2015,"31-3-2015","Express","Climate",1,.13636364,.45454545,3
31mar2015,"31-3-2015","Express","Other",2,0,0,3
31mar2015,"31-3-2015","The Guardian","Brexit Other",1,0,0,2
31mar2015,"31-3-2015","The Guardian","Climate",1,0,.3,2
31mar2015,"31-3-2015","The Independent","Climate",2,.1,.2,7
31mar2015,"31-3-2015","The Independent","Climate,Brexit",1,0,0,7
31mar2015,"31-3-2015","The Independent","Other",4,-.00535714,.17857143,7
31mar2015,"31-3-2015","The Times","Brexit Other",1,0,0,11
31mar2015,"31-3-2015","The Times","Climate",4,.05625,.15625,11
31mar2015,"31-3-2015","The Times","Other",6,.13333333,.11666667,11
01apr2015,"1-4-2015","Daily Mail","Brexit Business",1,.4,.7,3
01apr2015,"1-4-2015","Daily Mail","Other",2,0,.125,3
01apr2015,"1-4-2015","Evening Standard","Other",2,-.05,.175,2
01apr2015,"1-4-2015","Express","Brexit Business,Brexit Politics",1,.25,.25,6
01apr2015,"1-4-2015","Express","Brexit Other",1,-.9,.7,6
01apr2015,"1-4-2015","Express","Climate,Brexit",1,-.025,.2,6
01apr2015,"1-4-2015","Express","Other",3,-.16666667,.16666667,6
01apr2015,"1-4-2015","The Guardian","Other",1,0,.125,1
01apr2015,"1-4-2015","The Independent","Climate",2,.125,.5,3
01apr2015,"1-4-2015","The Independent","Other",1,0,0,3
01apr2015,"1-4-2015","The Times","Climate,Brexit",1,0,0,8
01apr2015,"1-4-2015","The Times","Other",7,.17142857,.28571429,8
02apr2015,"2-4-2015","Daily Mail","Climate",5,-.045,.5,11
02apr2015,"2-4-2015","Daily Mail","Other",6,.08981481,.25810185,11
02apr2015,"2-4-2015","Evening Standard","Other",2,.04659091,.2125,2
02apr2015,"2-4-2015","Express","Other",5,0,.2,5
02apr2015,"2-4-2015","The Independent","Brexit Politics",1,0,0,10
02apr2015,"2-4-2015","The Independent","Climate",1,-.625,1,10
02apr2015,"2-4-2015","The Independent","Other",8,-.03352273,.32013889,10
02apr2015,"2-4-2015","The Times","Brexit Other",1,0,0,9
02apr2015,"2-4-2015","The Times","Climate",1,-.38888889,.83333333,9
02apr2015,"2-4-2015","The Times","Other",7,.09642857,.17857143,9
03apr2015,"3-4-2015","Daily Mail","Brexit Politics",1,.06818182,.27727273,7
03apr2015,"3-4-2015","Daily Mail","Climate",1,.5,.83333333,7
03apr2015,"3-4-2015","Daily Mail","Climate,Brexit",1,.14285714,.26785714,7
03apr2015,"3-4-2015","Daily Mail","Other",4,-.328125,.734375,7
03apr2015,"3-4-2015","Express","Brexit Other",2,.01875,.55625,6
03apr2015,"3-4-2015","Express","Climate",1,.12,.58,6
03apr2015,"3-4-2015","Express","Other",3,-.00833333,.175,6
03apr2015,"3-4-2015","The Guardian","Other",1,0,0,1
03apr2015,"3-4-2015","The Independent","Climate",1,0,0,5
03apr2015,"3-4-2015","The Independent","Other",4,.025,.25,5
03apr2015,"3-4-2015","The Times","Climate",2,.58,.42,19
03apr2015,"3-4-2015","The Times","Climate,Brexit",1,0,0,19
03apr2015,"3-4-2015","The Times","Other",16,.07951389,.22777778,19
04apr2015,"4-4-2015","Express","Climate",1,0,.1,2
04apr2015,"4-4-2015","Express","Other",1,0,0,2
04apr2015,"4-4-2015","The Guardian","Other",1,.13636364,.5,1
04apr2015,"4-4-2015","The Independent","Brexit Other",1,0,0,3
04apr2015,"4-4-2015","The Independent","Other",2,.225,.55,3
04apr2015,"4-4-2015","The Times","Climate",1,0,0,8
04apr2015,"4-4-2015","The Times","Other",7,.05714286,.15,8
05apr2015,"5-4-2015","Daily Mail","Climate",3,.02592593,.10740741,5
05apr2015,"5-4-2015","Daily Mail","Climate,Brexit",1,-.25,.45,5
05apr2015,"5-4-2015","Daily Mail","Other",1,.08333333,.26666667,5
05apr2015,"5-4-2015","Express","Brexit Other",1,.15,.5,6
05apr2015,"5-4-2015","Express","Other",5,.09571429,.22714286,6
05apr2015,"5-4-2015","The Guardian","Brexit Other",1,0,0,2
05apr2015,"5-4-2015","The Guardian","Other",1,0,0,2
05apr2015,"5-4-2015","The Independent","Brexit Other",2,0,0,5
05apr2015,"5-4-2015","The Independent","Climate",2,.25,.25,5
05apr2015,"5-4-2015","The Independent","Other",1,0,0,5
05apr2015,"5-4-2015","The Times","Climate",2,.25,.25,14
05apr2015,"5-4-2015","The Times","Other",12,.06666667,.11041667,14
06apr2015,"6-4-2015","Daily Mail","Climate",2,-.375,.375,7
06apr2015,"6-4-2015","Daily Mail","Other",5,.0725,.43083333,7
06apr2015,"6-4-2015","Evening Standard","Other",1,-.03181818,.27727273,1
06apr2015,"6-4-2015","Express","Other",1,.5,.5,1
06apr2015,"6-4-2015","The Independent","Brexit Politics",1,-.1625,.5625,2
06apr2015,"6-4-2015","The Independent","Other",1,.5,.5,2
06apr2015,"6-4-2015","The Times","Other",3,0,0,3
