date,headline,newspaper,classification,brexit
10-4-2015,Courts should feel ashamed for their treatment of a British hero says Frederick Forsyth,Express,Brexit,Other
11-4-2015,"Over 20,000 British children 'will miss out on chosen primary school' as immigration soars",Express,Brexit,Other
11-4-2015,David Cameron under MORE pressure for UK to leave EU as ANOTHER Cabinet minister wants out,Express,Brexit,Other
11-4-2015,VIDEO: Flaming cannonball fired from medieval trebuchet starts blaze at British castle,Express,Brexit,Other
11-4-2015,British university Islamist group joins forces with al-Qaeda led fighters ,Express,Brexit,Other
11-4-2015,"Camilla should NOT become queen, say British public ",Express,Brexit,Other
11-4-2015,British troops to be protected by Tories against 'spurious' legal claims,Express,Brexit,Other
12-4-2015,British Airways flight 'forced to make emergency landing after engine fire',Express,Brexit,Other
12-4-2015,"British boy, 7, who died in tragic Alps skiing accident plunged 320ft to his death",Express,Brexit,Other
13-4-2015,We have a void in our hearts: Family's tribute to British schoolboy who died skiing,Express,Brexit,Other
13-4-2015,Fury as Vince Cable suggests Lib Dems will block EU referendum ,Express,Brexit,Other
13-4-2015,Body found in search for British woman on dream holiday feared dead after boat sinks,Express,Brexit,Other
13-4-2015,British expat found dead in well may have been murdered over vegetable row,Express,Brexit,Other
13-4-2015,"British soldier's array of medals including Victoria Cross to fetch £180,000 at auction",Express,Brexit,Other
14-4-2015,EXPOSED: Now EU plans to spend £14MILLION to double number of highly-paid judges ,Express,Brexit,Other
14-4-2015,The Queen and our humour are ‘best of British’,Express,Brexit,Other
15-4-2015,'Weak' British jihadists face EXECUTION by Islamic State because they want to come home,Express,Brexit,Other
15-4-2015,Cameron's EU plans suffer blow as Britain told to wait TEN YEARS for treaty change,Express,Brexit,Other
15-4-2015,Cherry on top: Warm weather promises bumper crop of juicy British fruits,Express,Brexit,Other
15-4-2015,European Union accuses Google of rigging search results for financial gain,Express,Brexit,Other
15-4-2015,Are BRITISH jihadists responsible for rape and torture by depraved Islamic State?,Express,Brexit,Other
15-4-2015,British Gas's bonuses deal worth up to £3.75m for veteran Mark Hodges,Express,Brexit,Other
15-4-2015,Frankie Dettori's British Classic hopes raised,Express,Brexit,Other
16-4-2015,Blow for Cameron as EU leaders gang up to tell him 'NO treaty change' despite reform vow,Express,Brexit,Other
16-4-2015,Jellyfish invasion: ENORMOUS shoal a mile in length spotted in British waters,Express,Brexit,Other
16-4-2015,Six British First World War heroes are laid to rest with full military honours at Ypres,Express,Brexit,Other
16-4-2015,Brussels hands taxpayers €1 BILLION bill to expand already-bloated EU 'gravy train',Express,Brexit,Other
16-4-2015,Fishing boat almost sunk in 'collision with RUSSIAN SUBMARINE' off British coast,Express,Brexit,Other
16-4-2015,Prince William tells EU 'enough is enough' over poor controls allowing poaching to thrive,Express,Brexit,Other
16-4-2015,Brussels belligerence will make EU exit more likely,Express,Brexit,Other
16-4-2015,Kate returns to her roots in British period drama ,Express,Brexit,Other
16-4-2015,Google fights EU abuse case ,Express,Brexit,Other
17-4-2015,Four British Navy sailors 'sexually assaulted young woman at Canadian air base',Express,Brexit,Other
17-4-2015,Spitfire is TOP British icon above Aston Martin and London's Routemaster bus,Express,Brexit,Other
17-4-2015,WATCH: Islamic State video 'shows British punk rock mother leading women extremists',Express,Brexit,Other
17-4-2015,The only way to gain our freedom is to leave the EU says STEPHEN POLLARD,Express,Brexit,Other
18-4-2015,Glorious British weather to continue next week as forecasters predict even more sunshine,Express,Brexit,Other
18-4-2015,Mutilated remains of British widow Violet Price found in French woodland,Express,Brexit,Other
18-4-2015,'Brady Bunch' family is norm as one in ten British households have two single parents,Express,Brexit,Other
19-4-2015,"EXCLUSIVE: Labour pledge to train 20,000 nurses . . .  and they’ll be British",Express,Brexit,Other
20-4-2015,'Died like rats in cages' Two MORE migrant ships report deaths as PM to attend EU summit,Express,Brexit,Immigration
20-4-2015,"British boy, 14, arrested over terror plot targeting First World War events in Australia",Express,Brexit,Other
20-4-2015,British family 'on way to Syria' arrested by Turkish police,Express,Brexit,Other
20-4-2015,Wildfire warning: British countryside could EXPLODE into FIREBALLS in hot temperatures,Express,Brexit,Other
20-4-2015,Saving Jihadi Ryan: British dad flies to Syria to save last living ‘terrorist’ son,Express,Brexit,Other
20-4-2015,Three British plane-spotters held in UAE accused of spying FINALLY released,Express,Brexit,Other
20-4-2015,British economy 'inhibited by high level of tax that stunts growth',Express,Brexit,Other
20-4-2015,Associated British Foods to reveal bittersweet results,Express,Brexit,Other
21-4-2015,Ed Sheeran is first British artist to clock up two billion music streams on Spotify,Express,Brexit,Other
21-4-2015,David Cameron warns British voters against a Labour and SNP coalition government ,Express,Brexit,Other
22-4-2015,British trader ‘wiped billions from the US stock exchange from Hounslow semi’,Express,Brexit,Other
22-4-2015,Nuns are on a run: More British women are taking vows of chastity and poverty,Express,Brexit,Other
22-4-2015,"Deploy British SAS troops to Libya to tackle migrant crisis, Boris demands",Express,Brexit,Immigration
22-4-2015,Primark’s sweet but Associated British Foods sours as sugar business slides into red,Express,Brexit,Other
23-4-2015,East European gangs exploiting open British borders to force EU girls into sham marriages,Express,Brexit,Other
23-4-2015,British schoolboy charged with terror offences over ‘plot to bomb Australian WW1 event’,Express,Brexit,Other
23-4-2015,Now EU meddlers want to slap THOUSANDS on cost of mortgages for British homeowners,Express,Brexit,Other
23-4-2015,"Anger as EU bureaucrats splurge £220,000 on president Juncker's luxury office",Express,Brexit,Other
23-4-2015,Great British half-pint rip-off: Two halves can cost ONE POUND more than a full pint,Express,Brexit,Other
23-4-2015,"Mediterranean migrant crisis: EU leaders to allow 5,000 refugees to resettle in Europe",Express,Brexit,Immigration
23-4-2015,Two British bands to join forces for Glastonbury says founder Michael Eavis,Express,Brexit,Other
23-4-2015,Tempting British river lovers: French cruise company launch brand new ship in Portugal,Express,Brexit,Other
24-4-2015,VIDEO: Here's how to stop Med migrant traffickers' boats: British firm shows off invention,Express,Brexit,Immigration
25-4-2015,Now EU forces farmers to use treatment that could plague our meat and make animals suffer,Express,Brexit,Other
26-4-2015,Nepal earthquake: British honeymoon couple describe terror of Mount Everest avalanche,Express,Brexit,Other
26-4-2015,David Cameron pledges to introduce EU referendum bill within 100 days,Express,Brexit,Other
26-4-2015,Cider makers in last ditch plea to the UK government to reject EU threat of tax increases ,Express,Brexit,Other
26-4-2015,British athletics star Paula Radcliffe in tears as she bows out at London Marathon,Express,Brexit,Other
26-4-2015,MI6 chiefs warn British agents they are being targeted by Russian spies in the UK,Express,Brexit,Other
27-4-2015,Tory standing against Nigel Farage runs website that helps EU migrants claim tax credits ,Express,Brexit,Immigration
27-4-2015,British 'jihadi bride' teen boasts of Islamic State life with takeaway delight,Express,Brexit,Other
27-4-2015,Corrie’s Anne Kirkbride to receive posthumous honour at the British Soap Awards,Express,Brexit,Other
27-4-2015,April 27: 100 years ago Lord Kitchener was disgusted by stories of British PoW torture,Express,Brexit,Other
27-4-2015,British scientists have developed broccoli pill to help in arthritis fight,Express,Brexit,Other
27-4-2015,Falling energy bills cause British households 'feel their richest in four years',Express,Brexit,Other
28-4-2015,More children dying from diabetes in Britain than in other EU countries,Express,Brexit,Other
28-4-2015,REVEALED: How IS teach British 'sleeper cells' to stay undetected online with 'DIY guides',Express,Brexit,Other
28-4-2015,British terror suspect on trial accused of killing American soldier with roadside bomb ,Express,Brexit,Other
28-4-2015,British holidaymakers to Greece 'should take cash' amid fears of bank meltdown,Express,Brexit,Other
28-4-2015,British tourists will need special code to hire a car abroad,Express,Brexit,Other
28-4-2015,Defections spur British Gas: Company spends £50m to improve service and keep customers,Express,Brexit,Other
29-4-2015,Driven mad: Now EU wants UK drivers to pay for £370m accident alert that MPs slam as waste,Express,Brexit,Other
29-4-2015,British grandmother on death row condemns 'senseless' deaths of Bali Nine duo,Express,Brexit,Other
29-4-2015,Battle against bags: Every EU state is to join Britain in slashing use of plastic carriers,Express,Brexit,Other
30-4-2015,Home at last! 120 British survivors return to UK on aid flight after Nepal quake,Express,Brexit,Other
30-4-2015,Now even EU chief Jean-Claude Juncker backs Nigel Farage's bid to become an MP,Express,Brexit,Other
30-4-2015,"British exams should be marked in INDIA by workers on £2 an hour, claims top academic",Express,Brexit,Other
30-4-2015,"Help for 'heavy' drinkers, EU rules that booze labels must show calories",Express,Brexit,Other
30-4-2015,RBS cuts credit card perks as it blames new EU rules – so who should you move to?,Express,Brexit,Other
1-5-2015,Coalition wrecker: Lib Dem 'resistance against EU vote' could mean no fresh Tory pact,Express,Brexit,Other
1-5-2015,Now EU wants its own SECRET AGENTS – amid claims Germany spied on officials,Express,Brexit,Other
1-5-2015,"Germany accused of spying on EU allies for the Americans, for years",Express,Brexit,Other
1-5-2015,"British homeowners must remortgage NOW to avoid new 'bonkers' EU rules, urges Martin Lewis",Express,Brexit,Other
2-5-2015,Revealed: Morbidly obese British primary school pupil weighed more than 24 STONE ,Express,Brexit,Other
2-5-2015,British grandmother on death row: Woman convicted of smuggling cocaine faces firing squad ,Express,Brexit,Other
2-5-2015,Susanna Reid recreates wartime kiss with her dad for the British Legion's VE Day campaign,Express,Brexit,Other
3-5-2015,The unsung hero dog who saved a British town from First World War wipeout,Express,Brexit,Other
3-5-2015,Ukip is in touch with ordinary British people,Express,Brexit,Other
4-5-2015,Radical Islamists death threats to ‘liberal’ British school teachers on increase,Express,Brexit,Other
5-5-2015,Farage: You CAN'T trust Cameron on EU promise - and he's guilty of Scottish appeasement,Express,Brexit,Other
5-5-2015,"We want an EU referendum THIS YEAR, says Ukip's Farage as election enters final stages",Express,Brexit,Other
5-5-2015,British prisoner charged with cellmate murder,Express,Brexit,Other
5-5-2015,'Tell the BBC I won't be in work' Chris Evans LIVID after British Airways delay flight,Express,Brexit,Other
5-5-2015,British man blagged way to Mayweather v Pacquiao fight after posing as Leo DiCaprio pal,Express,Brexit,Other
5-5-2015,Islamic State: British 'musketeers' appeal for public funding to fight terrorists,Express,Brexit,Other
5-5-2015,Chimp shot dead by police at Mallorca holiday resort popular with British tourists,Express,Brexit,Other
5-5-2015,World alert over DEADLY 'diet pills' that claimed life of young British student,Express,Brexit,Other
5-5-2015,British women TWICE as likely to die in childbirth and pregnancy as mothers in Poland,Express,Brexit,Other
5-5-2015,"Met Gala 2015: Helen Mirren, Sophie Turner and Ellie Goulding lead the British glamour",Express,Brexit,Other
6-5-2015,Mediterranean migrant crisis: Theresa May rejects EU demands on taking boat refugees,Express,Brexit,Immigration
6-5-2015,Why British stamps are sparking a big-money philately boom in China,Express,Brexit,Other
6-5-2015,Man accused of murdering a British student in the US could face the death penalty,Express,Brexit,Other
6-5-2015,The EU thinks you can't tell the difference between Sky and Skype,Express,Brexit,Other
7-5-2015,EXCLUSIVE: New EU plan means YOUR licence fee could fund BBC for 500million Europeans,Express,Brexit,Other
7-5-2015,Judge slams EU migration rules for allowing convicted killer into Britain,Express,Brexit,Other
7-5-2015,British pair accused of helping jihadis flee to Syria 'called Lee Rigby mourners scum’,Express,Brexit,Other
7-5-2015,Back home: British mum who was first to give birth with help of artificial pancreas,Express,Brexit,Other
7-5-2015,REVEALED: The simple card trick that costs British holidaymakers £292m a YEAR,Express,Brexit,Other
7-5-2015,EXPRESS COMMENT: Vote Ukip and help Britain to break free from the EU ,Express,Brexit,Other
7-5-2015,James DeGale fights to shed bad-boy image and be loved by the British public,Express,Brexit,Other
8-5-2015,Jean-Claude Juncker again calls for a joint EU army – as 'chickens' pose a bigger threat,Express,Brexit,Other
8-5-2015,British family arrested in Turkey on way to Syrian Islamic State return to UK,Express,Brexit,Other
8-5-2015,British millionaires who made it in business without a university degree,Express,Brexit,Other
8-5-2015,"Cunard’s Lusitania memorial service joined by Irish, British, US and German officials",Express,Brexit,Other
8-5-2015,98 years old and STILL proud to eat british...,Express,Brexit,Other
9-5-2015,VIDEO: Two Libyan soldiers 'look for CCTV cameras' in British city before 'raping man',Express,Brexit,Other
9-5-2015,Ukip will keep pressure on for EU vote vows Nigel Farage,Express,Brexit,Other
9-5-2015,Salute the Great British cruise,Express,Brexit,Other
10-5-2015,"Nepal earthquake: Tribute to 'kind, happy, creative' British student confirmed dead",Express,Brexit,Other
10-5-2015,EXCLUSIVE: Nigel Farage WON'T rule out Ukip leader return due to 'nagging' EU referendum,Express,Brexit,Other
10-5-2015,Afghan translators seeking safety from Taliban in UK now fear attacks by BRITISH jihadists,Express,Brexit,Other
10-5-2015,Greece could exit EU if fails to end bankruptcy,Express,Brexit,Other
11-5-2015,Tory MPs urge David Cameron to take on EU as price of support,Express,Brexit,Other
11-5-2015,RAF to get £2billion fleet of jets to spot Putin's nuclear submarines off British coast,Express,Brexit,Other
11-5-2015,GRAPHIC CONTENT: British charity saves dogs from cruel deaths in Romania,Express,Brexit,Other
11-5-2015,British man heartbroken after South African girlfriend falls to death on first date,Express,Brexit,Other
11-5-2015,"British boys exploited by vile paedophile who lured 2,000 boys to perform sex acts",Express,Brexit,Other
11-5-2015,VIDEO: 14 movies that could only have been made in Britain,Express,Brexit,Other
11-5-2015,Designer Jo Thompson creates classic British garden with contemporary twist,Express,Brexit,Other
12-5-2015,Jellyfish with 6ft long tentacles wash up on British beach during largest swarm in DECADES,Express,Brexit,Other
12-5-2015,BFFs? Professor Hawking jokes around with 'British icon' David Beckham and wife Victoria,Express,Brexit,Other
12-5-2015,England’s Laura Massaro says her hunger is back after winning return to British Open,Express,Brexit,Other
