date1,date,newspaper,text_classification,stories,polaritytext,subjectivitytext,total_stories
03mar2015,"3-3-2015","Express","Climate,Brexit",2,-.08184524,.3562624,3
03mar2015,"3-3-2015","The Guardian","Climate",1,-.02040404,.2330303,1
03mar2015,"3-3-2015","The Independent","Climate",4,.02077536,.29555504,7
03mar2015,"3-3-2015","The Independent","Climate,Brexit",2,.0555775,.52962075,7
03mar2015,"3-3-2015","The Independent","Other",1,.03888889,.36111111,7
03mar2015,"3-3-2015","The Times","Brexit Business",3,-.05312271,.30091575,14
03mar2015,"3-3-2015","The Times","Climate",9,-.03989811,.39582583,14
03mar2015,"3-3-2015","The Times","Climate,Brexit",1,.20454545,.49090909,14
03mar2015,"3-3-2015","The Times","Other",1,.147,.323,14
04mar2015,"4-3-2015","Daily Mail","Brexit Business",1,.05833333,.31666667,10
04mar2015,"4-3-2015","Daily Mail","Brexit Business,Brexit Politics",1,-.02333333,.29,10
04mar2015,"4-3-2015","Daily Mail","Climate",5,.07178644,.37506854,10
04mar2015,"4-3-2015","Daily Mail","Climate,Brexit",1,0,.15833333,10
04mar2015,"4-3-2015","Daily Mail","Other",2,-.05072314,.5225551,10
04mar2015,"4-3-2015","Evening Standard","Climate",2,-.01683673,.19608844,2
04mar2015,"4-3-2015","Express","Climate",1,-.04355556,.24281481,1
04mar2015,"4-3-2015","The Independent","",1,,,12
04mar2015,"4-3-2015","The Independent","Brexit Business",1,.07727273,.38424242,12
04mar2015,"4-3-2015","The Independent","Brexit Politics",1,.17527778,.33888889,12
04mar2015,"4-3-2015","The Independent","Climate",8,.04797886,.36565581,12
04mar2015,"4-3-2015","The Independent","Climate,Brexit",1,-.07698413,.23571429,12
04mar2015,"4-3-2015","The Times","Brexit Politics",1,.09722222,.4765873,17
04mar2015,"4-3-2015","The Times","Climate",10,.04684718,.3796527,17
04mar2015,"4-3-2015","The Times","Climate,Brexit",3,-.00706169,.3087031,17
04mar2015,"4-3-2015","The Times","Other",3,.0718254,.40376984,17
05mar2015,"5-3-2015","Daily Mail","Climate",4,.10051655,.43070007,5
05mar2015,"5-3-2015","Daily Mail","Other",1,.1040404,.34494949,5
05mar2015,"5-3-2015","Evening Standard","Climate",1,.18484848,.36969697,2
05mar2015,"5-3-2015","Evening Standard","Climate,Brexit",1,-.29318182,.48106061,2
05mar2015,"5-3-2015","Express","Brexit Politics,Brexit Immigration",1,.24722222,.36759259,6
05mar2015,"5-3-2015","Express","Climate",2,.11638889,.43289683,6
05mar2015,"5-3-2015","Express","Climate,Brexit",3,.03687557,.39470099,6
05mar2015,"5-3-2015","The Guardian","Climate",1,-.15,.2,1
05mar2015,"5-3-2015","The Independent","Brexit Other",1,-.01666667,.17291667,6
05mar2015,"5-3-2015","The Independent","Climate",3,.07408106,.34741966,6
05mar2015,"5-3-2015","The Independent","Climate,Brexit",1,-.11666667,.23333333,6
05mar2015,"5-3-2015","The Independent","Other",1,.04545455,.11580087,6
05mar2015,"5-3-2015","The Times","Brexit Politics",1,.24940476,.57440476,11
05mar2015,"5-3-2015","The Times","Climate",10,.02645304,.40553195,11
06mar2015,"6-3-2015","Daily Mail","Brexit Politics",1,.25,.25,9
06mar2015,"6-3-2015","Daily Mail","Climate",5,.09005682,.40535606,9
06mar2015,"6-3-2015","Daily Mail","Other",3,-.01196429,.43936508,9
06mar2015,"6-3-2015","Evening Standard","Brexit Business",1,.25284091,.48238636,3
06mar2015,"6-3-2015","Evening Standard","Climate",1,-.08333333,.36111111,3
06mar2015,"6-3-2015","Evening Standard","Other",1,.09583333,.5125,3
06mar2015,"6-3-2015","Express","Brexit Business",1,.13333333,.34761905,7
06mar2015,"6-3-2015","Express","Brexit Politics",1,.23377976,.37296627,7
06mar2015,"6-3-2015","Express","Climate",4,.10858892,.32128157,7
06mar2015,"6-3-2015","Express","Climate,Brexit",1,.0047619,.01904762,7
06mar2015,"6-3-2015","The Guardian","Climate",1,-.2,.26666667,1
06mar2015,"6-3-2015","The Independent","Brexit Politics",1,-.07878788,.17765152,7
06mar2015,"6-3-2015","The Independent","Climate",4,.0282777,.31734927,7
06mar2015,"6-3-2015","The Independent","Climate,Brexit",1,.19177489,.31385281,7
06mar2015,"6-3-2015","The Independent","Other",1,.18434343,.36464646,7
06mar2015,"6-3-2015","The Times","Climate",5,.12861622,.44884497,10
06mar2015,"6-3-2015","The Times","Climate,Brexit",2,.06325231,.31140046,10
06mar2015,"6-3-2015","The Times","Other",3,.20381313,.44058081,10
07mar2015,"7-3-2015","Daily Mail","Climate",6,.03608135,.30494874,10
07mar2015,"7-3-2015","Daily Mail","Climate,Brexit",1,.109375,.309375,10
07mar2015,"7-3-2015","Daily Mail","Other",3,-.2032203,.48904281,10
07mar2015,"7-3-2015","Evening Standard","Climate",1,.02857143,.21964286,1
07mar2015,"7-3-2015","The Guardian","Climate",1,.41309524,.55892857,1
07mar2015,"7-3-2015","The Independent","Climate",2,.14077381,.40089286,5
07mar2015,"7-3-2015","The Independent","Climate,Brexit",2,.00946429,.14464286,5
07mar2015,"7-3-2015","The Independent","Other",1,.16694215,.32272727,5
07mar2015,"7-3-2015","The Times","Brexit Business,Brexit Politics,Brexit Immigration",1,.09666667,.35333333,9
07mar2015,"7-3-2015","The Times","Brexit Politics",1,.00013889,.34847222,9
07mar2015,"7-3-2015","The Times","Climate",7,.08550752,.32676793,9
08mar2015,"8-3-2015","Daily Mail","Brexit Other",1,-.04761905,.26666667,6
08mar2015,"8-3-2015","Daily Mail","Brexit Politics",1,-.00492063,.40730159,6
08mar2015,"8-3-2015","Daily Mail","Climate",3,.04493886,.44586525,6
08mar2015,"8-3-2015","Daily Mail","Other",1,-.0125,.35416667,6
08mar2015,"8-3-2015","Express","Climate",4,.14295362,.39068016,4
08mar2015,"8-3-2015","The Independent","Climate",10,.05654309,.33462122,10
08mar2015,"8-3-2015","The Times","Climate",13,.0772618,.40963088,14
08mar2015,"8-3-2015","The Times","Climate,Brexit",1,.00333333,.10666667,14
09mar2015,"9-3-2015","Daily Mail","Climate",2,-.17660534,.32552309,7
09mar2015,"9-3-2015","Daily Mail","Climate,Brexit",2,.0021875,.20579861,7
09mar2015,"9-3-2015","Daily Mail","Other",3,-.09839744,.26004274,7
09mar2015,"9-3-2015","Evening Standard","Climate",1,.30909091,.71363636,1
09mar2015,"9-3-2015","Express","Climate",7,.12629668,.37550414,8
09mar2015,"9-3-2015","Express","Climate,Brexit",1,.06325758,.26780303,8
09mar2015,"9-3-2015","The Guardian","Brexit Other",1,.04444444,.36111111,1
09mar2015,"9-3-2015","The Independent","Climate",4,-.06164232,.40618023,6
09mar2015,"9-3-2015","The Independent","Climate,Brexit",1,-.02731481,.21898148,6
09mar2015,"9-3-2015","The Independent","Other",1,.27857143,.41428571,6
09mar2015,"9-3-2015","The Times","Brexit Business",1,.08727273,.33090909,8
09mar2015,"9-3-2015","The Times","Climate",4,.17984217,.40997426,8
09mar2015,"9-3-2015","The Times","Climate,Brexit",1,-.03819444,.24930556,8
09mar2015,"9-3-2015","The Times","Other",2,-.1075,.3375,8
10mar2015,"10-3-2015","Express","Brexit Politics",1,.25333333,.31916667,6
10mar2015,"10-3-2015","Express","Climate",4,.15567167,.40143699,6
10mar2015,"10-3-2015","Express","Climate,Brexit",1,-.08,.71333333,6
10mar2015,"10-3-2015","The Independent","Brexit Politics",2,-.00606061,.44229798,8
10mar2015,"10-3-2015","The Independent","Climate",3,.01585859,.26286195,8
10mar2015,"10-3-2015","The Independent","Other",3,.1745202,.29140993,8
10mar2015,"10-3-2015","The Times","Brexit Politics",2,-.07261905,.23571429,6
10mar2015,"10-3-2015","The Times","Climate",3,.015,.26780271,6
10mar2015,"10-3-2015","The Times","Other",1,.11428571,.24285714,6
11mar2015,"11-3-2015","Daily Mail","Brexit Business",1,-.30714286,.43809524,11
11mar2015,"11-3-2015","Daily Mail","Brexit Other",2,-.08351648,.26465201,11
11mar2015,"11-3-2015","Daily Mail","Brexit Politics",2,-.00454545,.26838023,11
11mar2015,"11-3-2015","Daily Mail","Climate",3,.01622939,.33676593,11
11mar2015,"11-3-2015","Daily Mail","Climate,Brexit",3,.16906566,.25869108,11
11mar2015,"11-3-2015","Express","Climate,Brexit",2,.13155733,.25371573,3
11mar2015,"11-3-2015","Express","Other",1,.03888889,.32777778,3
11mar2015,"11-3-2015","The Independent","Brexit Politics",1,.11239669,.26859504,7
11mar2015,"11-3-2015","The Independent","Climate",5,.01417368,.38873292,7
11mar2015,"11-3-2015","The Independent","Other",1,.01590909,.34880952,7
11mar2015,"11-3-2015","The Times","Brexit Business",1,.325,.66071429,8
11mar2015,"11-3-2015","The Times","Brexit Business,Brexit Politics",1,.02142857,.05,8
11mar2015,"11-3-2015","The Times","Climate",4,.18735561,.33086601,8
11mar2015,"11-3-2015","The Times","Climate,Brexit",2,.05560967,.28242244,8
12mar2015,"12-3-2015","Daily Mail","Brexit Politics",1,-.03125,.22708333,8
12mar2015,"12-3-2015","Daily Mail","Climate",7,-.01599046,.32811995,8
12mar2015,"12-3-2015","Evening Standard","Climate",1,.11839827,.43809524,1
12mar2015,"12-3-2015","Express","Brexit Politics",1,-.09,.18666667,4
12mar2015,"12-3-2015","Express","Climate",1,.06354167,.25520833,4
12mar2015,"12-3-2015","Express","Climate,Brexit",2,.19561688,.36753247,4
12mar2015,"12-3-2015","The Guardian","Climate",1,.015,.12833333,1
12mar2015,"12-3-2015","The Independent","Brexit Business,Brexit Politics",1,-.33333333,.35555556,5
12mar2015,"12-3-2015","The Independent","Climate",4,.06142494,.36878852,5
12mar2015,"12-3-2015","The Times","Brexit Business",1,.08522727,.23270202,11
12mar2015,"12-3-2015","The Times","Brexit Politics",2,-.04345238,.19642857,11
12mar2015,"12-3-2015","The Times","Climate",4,.05231093,.4760045,11
12mar2015,"12-3-2015","The Times","Climate,Brexit",1,.09848485,.23754209,11
12mar2015,"12-3-2015","The Times","Other",3,.16604701,.46223582,11
13mar2015,"13-3-2015","Daily Mail","Climate",3,.12884356,.31834369,3
13mar2015,"13-3-2015","Evening Standard","Climate",1,-.05492424,.5030303,2
13mar2015,"13-3-2015","Evening Standard","Climate,Brexit",1,.075,.328125,2
13mar2015,"13-3-2015","Express","Brexit Politics",1,.1662037,.33449074,3
13mar2015,"13-3-2015","Express","Climate",2,-.01468254,.44382716,3
13mar2015,"13-3-2015","The Independent","Brexit Business",1,-.07272727,.43560606,4
13mar2015,"13-3-2015","The Independent","Brexit Politics",1,.103125,.15104167,4
13mar2015,"13-3-2015","The Independent","Climate",2,.05209115,.32921477,4
13mar2015,"13-3-2015","The Times","Brexit Other",1,.0015625,.3359375,8
13mar2015,"13-3-2015","The Times","Climate",2,.11583333,.33083333,8
13mar2015,"13-3-2015","The Times","Climate,Brexit",3,-.04277778,.2141358,8
13mar2015,"13-3-2015","The Times","Other",2,.02882395,.31023329,8
14mar2015,"14-3-2015","Daily Mail","Climate",5,.17348485,.36439394,6
14mar2015,"14-3-2015","Daily Mail","Other",1,.12272727,.45555556,6
14mar2015,"14-3-2015","Evening Standard","Climate",1,.31594517,.47510823,1
14mar2015,"14-3-2015","Express","Climate",4,.28760417,.48826885,4
14mar2015,"14-3-2015","The Independent","Brexit Politics",1,-.07333333,.17333333,4
14mar2015,"14-3-2015","The Independent","Climate",3,-.02896825,.26587302,4
14mar2015,"14-3-2015","The Times","Climate",8,.1671007,.47015514,8
15mar2015,"15-3-2015","Daily Mail","Climate",1,.02596154,.22339744,3
15mar2015,"15-3-2015","Daily Mail","Climate,Brexit",1,0,0,3
15mar2015,"15-3-2015","Daily Mail","Other",1,0,.13333333,3
15mar2015,"15-3-2015","Express","Climate",2,-.10449107,.41997321,2
15mar2015,"15-3-2015","The Guardian","Climate",1,.11314286,.488,1
15mar2015,"15-3-2015","The Independent","Climate",1,.15714286,.28571429,1
15mar2015,"15-3-2015","The Times","Brexit Politics",1,.16904762,.56904762,14
15mar2015,"15-3-2015","The Times","Climate",9,.13088324,.4336069,14
15mar2015,"15-3-2015","The Times","Other",4,.09728632,.39787102,14
16mar2015,"16-3-2015","Daily Mail","Climate",7,.02834978,.41736854,11
16mar2015,"16-3-2015","Daily Mail","Climate,Brexit",3,.18663059,.35462843,11
16mar2015,"16-3-2015","Daily Mail","Other",1,.2375,.52361111,11
16mar2015,"16-3-2015","Evening Standard","Climate",1,-.06666667,.38888889,1
16mar2015,"16-3-2015","Express","Brexit Other",1,-.04166667,.5625,6
16mar2015,"16-3-2015","Express","Brexit Politics",1,-.01623932,.23497699,6
16mar2015,"16-3-2015","Express","Climate",3,-.08054954,.39607383,6
16mar2015,"16-3-2015","Express","Other",1,.087,.543,6
16mar2015,"16-3-2015","The Guardian","Other",1,-.02727273,.58825758,1
16mar2015,"16-3-2015","The Independent","Brexit Politics",1,.01203704,.02407407,7
16mar2015,"16-3-2015","The Independent","Climate",5,.02634259,.43285185,7
16mar2015,"16-3-2015","The Independent","Other",1,.02727273,.24090909,7
16mar2015,"16-3-2015","The Times","Brexit Other",2,.00333333,.14,10
16mar2015,"16-3-2015","The Times","Climate",5,.08886312,.33419934,10
16mar2015,"16-3-2015","The Times","Climate,Brexit",1,.06392045,.45369318,10
16mar2015,"16-3-2015","The Times","Other",2,.06203704,.39027778,10
17mar2015,"17-3-2015","Daily Mail","Climate",3,.1343339,.43115646,5
17mar2015,"17-3-2015","Daily Mail","Climate,Brexit",2,.14379778,.47617424,5
17mar2015,"17-3-2015","Evening Standard","Climate",1,.25,.5,1
17mar2015,"17-3-2015","Express","Brexit Politics",1,.05,.21,8
17mar2015,"17-3-2015","Express","Climate",6,-.02276335,.35116252,8
17mar2015,"17-3-2015","Express","Other",1,.025,.3725,8
17mar2015,"17-3-2015","The Independent","Climate",5,.03449023,.40182793,7
17mar2015,"17-3-2015","The Independent","Other",2,.159375,.546875,7
17mar2015,"17-3-2015","The Times","Brexit Business",1,.23863636,.52272727,6
17mar2015,"17-3-2015","The Times","Climate",4,.11440611,.33387852,6
17mar2015,"17-3-2015","The Times","Other",1,.21666667,.44444444,6
18mar2015,"18-3-2015","Daily Mail","Climate",7,-.06605789,.37824043,9
18mar2015,"18-3-2015","Daily Mail","Climate,Brexit",1,-.03263889,.27847222,9
18mar2015,"18-3-2015","Daily Mail","Other",1,-.02847222,.39826389,9
18mar2015,"18-3-2015","Evening Standard","Climate",4,.0073518,.44090073,4
18mar2015,"18-3-2015","Express","Brexit Politics",3,.04332211,.40239057,7
18mar2015,"18-3-2015","Express","Climate",4,.12345328,.39912668,7
18mar2015,"18-3-2015","The Independent","Brexit Politics,Brexit Immigration",1,-.10087302,.33261905,4
18mar2015,"18-3-2015","The Independent","Climate",1,.07321429,.24285714,4
18mar2015,"18-3-2015","The Independent","Climate,Brexit",1,.00833333,.19166667,4
18mar2015,"18-3-2015","The Independent","Other",1,.24194215,.3542011,4
18mar2015,"18-3-2015","The Times","Climate",3,.16483165,.34135241,5
18mar2015,"18-3-2015","The Times","Climate,Brexit",1,-.03125,.34375,5
18mar2015,"18-3-2015","The Times","Other",1,.1625,.33333333,5
19mar2015,"19-3-2015","Daily Mail","Climate",3,-.0010582,.41541005,4
19mar2015,"19-3-2015","Daily Mail","Climate,Brexit",1,.05454545,.39431818,4
19mar2015,"19-3-2015","Evening Standard","Climate",5,.15576722,.42832224,5
19mar2015,"19-3-2015","Express","Brexit Politics",1,.09083333,.22944444,3
19mar2015,"19-3-2015","Express","Climate",2,-.06861568,.4223132,3
19mar2015,"19-3-2015","The Guardian","Brexit Immigration",1,-.05625,.14375,3
19mar2015,"19-3-2015","The Guardian","Brexit Politics",1,.1275,.33083333,3
19mar2015,"19-3-2015","The Guardian","Climate",1,-.25,.25,3
19mar2015,"19-3-2015","The Independent","Climate",7,-.02339436,.37143024,9
19mar2015,"19-3-2015","The Independent","Other",2,-.06958649,.4212279,9
19mar2015,"19-3-2015","The Times","Brexit Business",1,-.07857143,.23809524,10
19mar2015,"19-3-2015","The Times","Climate",7,.06831615,.3182781,10
19mar2015,"19-3-2015","The Times","Climate,Brexit",2,.14404762,.33333333,10
20mar2015,"20-3-2015","Daily Mail","Brexit Other",1,-.00333333,.30666667,9
20mar2015,"20-3-2015","Daily Mail","Climate",6,.05822,.41260116,9
20mar2015,"20-3-2015","Daily Mail","Climate,Brexit",1,.16875,.35833333,9
20mar2015,"20-3-2015","Daily Mail","Other",1,-.13333333,.31388889,9
20mar2015,"20-3-2015","Evening Standard","Brexit Politics",1,-.0025,.30583333,3
20mar2015,"20-3-2015","Evening Standard","Climate",2,.06194444,.45759259,3
20mar2015,"20-3-2015","Express","Climate",6,.12707735,.4174903,9
20mar2015,"20-3-2015","Express","Climate,Brexit",3,-.18514214,.3108683,9
20mar2015,"20-3-2015","The Independent","Climate",6,.03488117,.42124151,7
20mar2015,"20-3-2015","The Independent","Climate,Brexit",1,-.22222222,.41666667,7
20mar2015,"20-3-2015","The Times","Brexit Business,Brexit Politics",1,.03333333,.13888889,10
20mar2015,"20-3-2015","The Times","Climate",7,.15874282,.48549173,10
20mar2015,"20-3-2015","The Times","Climate,Brexit",2,-.05304408,.32626722,10
21mar2015,"21-3-2015","Daily Mail","Climate,Brexit",1,.15848485,.3430303,1
21mar2015,"21-3-2015","Evening Standard","Climate",1,-.00083333,.4925,1
21mar2015,"21-3-2015","Express","Brexit Politics,Brexit Immigration",1,-.04431818,.42227273,3
21mar2015,"21-3-2015","Express","Climate",1,.04136905,.61547619,3
21mar2015,"21-3-2015","Express","Climate,Brexit",1,-.0125,.4375,3
21mar2015,"21-3-2015","The Independent","Brexit Politics",1,6.168e-18,.11203704,3
21mar2015,"21-3-2015","The Independent","Climate",2,.14863636,.50670455,3
21mar2015,"21-3-2015","The Times","Brexit Politics",1,.11604938,.52098765,10
21mar2015,"21-3-2015","The Times","Climate",7,.1191796,.50299559,10
21mar2015,"21-3-2015","The Times","Other",2,.02113636,.33045455,10
22mar2015,"22-3-2015","Daily Mail","Brexit Immigration",1,.07222222,.31111111,6
22mar2015,"22-3-2015","Daily Mail","Climate",3,.02366453,.34714744,6
22mar2015,"22-3-2015","Daily Mail","Climate,Brexit",1,-.01785714,.33482143,6
22mar2015,"22-3-2015","Daily Mail","Other",1,.10714286,.4,6
22mar2015,"22-3-2015","Express","Climate",2,.07222222,.37777778,2
22mar2015,"22-3-2015","The Guardian","Climate,Brexit",1,-.115625,.340625,1
22mar2015,"22-3-2015","The Independent","Climate",2,.04325397,.36889881,2
22mar2015,"22-3-2015","The Times","Brexit Other",1,.19259259,.22962963,21
22mar2015,"22-3-2015","The Times","Brexit Politics",1,.18508159,.27698135,21
22mar2015,"22-3-2015","The Times","Climate",16,.10009183,.35910869,21
22mar2015,"22-3-2015","The Times","Climate,Brexit",2,.26303457,.44828283,21
22mar2015,"22-3-2015","The Times","Other",1,.30416667,.7375,21
23mar2015,"23-3-2015","Daily Mail","Brexit Business",1,-.15606061,.33939394,5
23mar2015,"23-3-2015","Daily Mail","Climate",3,.05363757,.45181217,5
23mar2015,"23-3-2015","Daily Mail","Climate,Brexit",1,-.03055556,.33981481,5
23mar2015,"23-3-2015","Evening Standard","Climate",2,.07416667,.39527778,2
23mar2015,"23-3-2015","Express","Climate",1,.140625,.29583333,2
23mar2015,"23-3-2015","Express","Climate,Brexit",1,-.16089744,.53910256,2
23mar2015,"23-3-2015","The Guardian","Brexit Business",1,-.03989899,.42417929,2
23mar2015,"23-3-2015","The Guardian","Climate,Brexit",1,.14829545,.20681818,2
23mar2015,"23-3-2015","The Independent","Brexit Politics",1,-.02638889,.15972222,7
23mar2015,"23-3-2015","The Independent","Climate",3,.05245987,.47724862,7
23mar2015,"23-3-2015","The Independent","Climate,Brexit",2,.10113636,.32583333,7
23mar2015,"23-3-2015","The Independent","Other",1,.15909091,.28655303,7
23mar2015,"23-3-2015","The Times","Brexit Business,Brexit Politics,Brexit Immigration",1,.11415344,.44378307,13
23mar2015,"23-3-2015","The Times","Climate",9,.0796407,.44158789,13
23mar2015,"23-3-2015","The Times","Climate,Brexit",1,.08363636,.42545455,13
23mar2015,"23-3-2015","The Times","Other",2,.13914141,.60662879,13
24mar2015,"24-3-2015","Daily Mail","Climate",2,.14693376,.45936966,3
24mar2015,"24-3-2015","Daily Mail","Climate,Brexit",1,.4,.4,3
24mar2015,"24-3-2015","Express","Climate",4,.05297549,.34495875,5
24mar2015,"24-3-2015","Express","Climate,Brexit",1,.125,.16666667,5
24mar2015,"24-3-2015","The Guardian","Brexit Business,Brexit Politics",1,.16166667,.41666667,3
24mar2015,"24-3-2015","The Guardian","Climate",1,.04074074,.45648148,3
24mar2015,"24-3-2015","The Guardian","Other",1,.01313131,.30050505,3
24mar2015,"24-3-2015","The Independent","Climate",4,.01928207,.39822137,4
24mar2015,"24-3-2015","The Times","Brexit Politics",1,-.025,.46858974,8
24mar2015,"24-3-2015","The Times","Climate",3,-.04722222,.35277778,8
24mar2015,"24-3-2015","The Times","Climate,Brexit",1,.26666667,.48333333,8
24mar2015,"24-3-2015","The Times","Other",3,.02941919,.31380471,8
25mar2015,"25-3-2015","Daily Mail","Brexit Business,Brexit Politics",1,-.01153846,.22692308,13
25mar2015,"25-3-2015","Daily Mail","Climate",10,-.03041936,.29018273,13
25mar2015,"25-3-2015","Daily Mail","Climate,Brexit",2,-.02111111,.14563492,13
25mar2015,"25-3-2015","Express","Brexit Other",1,.10208333,.4,5
25mar2015,"25-3-2015","Express","Brexit Politics",1,-.02148569,.23941498,5
25mar2015,"25-3-2015","Express","Climate",3,-.12773148,.40851852,5
25mar2015,"25-3-2015","The Independent","Climate",5,.10590278,.32864583,5
25mar2015,"25-3-2015","The Times","Brexit Business",2,.12596154,.35673077,10
25mar2015,"25-3-2015","The Times","Climate",7,.06709905,.37095165,10
25mar2015,"25-3-2015","The Times","Climate,Brexit",1,0,.17777778,10
26mar2015,"26-3-2015","Daily Mail","Brexit Business",2,.08134861,.28248918,5
26mar2015,"26-3-2015","Daily Mail","Climate",2,.19715909,.53011364,5
26mar2015,"26-3-2015","Daily Mail","Other",1,.03613636,.42833333,5
26mar2015,"26-3-2015","Evening Standard","Climate",2,.11833063,.53255547,2
26mar2015,"26-3-2015","Express","Brexit Business,Brexit Politics",1,.08492063,.38888889,6
26mar2015,"26-3-2015","Express","Climate",4,.03400072,.28995611,6
26mar2015,"26-3-2015","Express","Climate,Brexit",1,.01111111,.37638889,6
26mar2015,"26-3-2015","The Independent","Climate",2,-.08621032,.31798942,2
26mar2015,"26-3-2015","The Times","Brexit Business,Brexit Politics",1,.03933566,.23688811,4
26mar2015,"26-3-2015","The Times","Climate",2,.21969697,.63333333,4
26mar2015,"26-3-2015","The Times","Other",1,.10138889,.28055556,4
27mar2015,"27-3-2015","Daily Mail","Climate",4,.13005682,.37095328,4
27mar2015,"27-3-2015","Evening Standard","Climate",2,.05743056,.39236111,2
27mar2015,"27-3-2015","Express","Brexit Politics",2,.0988952,.39027778,5
27mar2015,"27-3-2015","Express","Climate",2,-.01456304,.47971794,5
27mar2015,"27-3-2015","Express","Other",1,-.01041667,.375,5
27mar2015,"27-3-2015","The Independent","",1,,,8
27mar2015,"27-3-2015","The Independent","Climate",6,-.03019068,.44272159,8
27mar2015,"27-3-2015","The Independent","Climate,Brexit",1,.16602564,.475,8
27mar2015,"27-3-2015","The Times","Climate",4,.14354557,.39327802,6
27mar2015,"27-3-2015","The Times","Climate,Brexit",1,.05333333,.39666667,6
27mar2015,"27-3-2015","The Times","Other",1,-.0030303,.325,6
28mar2015,"28-3-2015","Daily Mail","Climate",5,.04323611,.31141667,6
28mar2015,"28-3-2015","Daily Mail","Climate,Brexit",1,.13961039,.43441558,6
28mar2015,"28-3-2015","Evening Standard","Climate",1,.3,.5,1
28mar2015,"28-3-2015","Express","Climate",6,.03897179,.39668555,6
28mar2015,"28-3-2015","The Independent","Brexit Other",1,.02777778,.36111111,3
28mar2015,"28-3-2015","The Independent","Climate",1,.23360882,.42844353,3
28mar2015,"28-3-2015","The Independent","Other",1,.16666667,.21428571,3
28mar2015,"28-3-2015","The Times","Brexit Business,Brexit Politics",1,.19438776,.44391156,5
28mar2015,"28-3-2015","The Times","Climate",3,.15034722,.41232639,5
28mar2015,"28-3-2015","The Times","Climate,Brexit",1,.18055556,.48611111,5
29mar2015,"29-3-2015","Daily Mail","Brexit Politics",1,.025,.09166667,4
29mar2015,"29-3-2015","Daily Mail","Climate",2,.10854167,.38770833,4
29mar2015,"29-3-2015","Daily Mail","Other",1,.07,.5,4
29mar2015,"29-3-2015","Express","Climate",2,.00458153,.28643579,3
29mar2015,"29-3-2015","Express","Climate,Brexit",1,.085,.26333333,3
29mar2015,"29-3-2015","The Guardian","Brexit Politics",1,.04375,.46875,2
29mar2015,"29-3-2015","The Guardian","Climate",1,.06190476,.53333333,2
29mar2015,"29-3-2015","The Independent","Brexit Politics",1,.05059524,.21964286,9
29mar2015,"29-3-2015","The Independent","Climate",7,.04951584,.42248511,9
29mar2015,"29-3-2015","The Independent","Other",1,.00416667,.39166667,9
29mar2015,"29-3-2015","The Times","Brexit Business,Brexit Politics",1,-.03131313,.28636364,17
29mar2015,"29-3-2015","The Times","Climate",11,.04067794,.39513,17
29mar2015,"29-3-2015","The Times","Climate,Brexit",3,.08056851,.27988308,17
29mar2015,"29-3-2015","The Times","Other",2,.04734848,.31805556,17
30mar2015,"30-3-2015","Daily Mail","Brexit Immigration",1,.01666667,.2,10
30mar2015,"30-3-2015","Daily Mail","Brexit Politics",1,.20833333,.38333333,10
30mar2015,"30-3-2015","Daily Mail","Climate",5,.10150595,.39505952,10
30mar2015,"30-3-2015","Daily Mail","Climate,Brexit",2,.07073864,.25732323,10
